Project Code,Description
D0964,Act-CHDO Operating Expenses
D0965,Act-Clingman Loft
D0966,Act-Crowell Parks
D0967,Act-Direct Hmbuyer Assist HOME
D0968,Act-Homebuyer Assistance
D0969,Act-East Riverside Development
D0970,Act-Brotherton Subdivision
D0971,Act-Glen Rock Apartments
D0972,Act-Habitat Enka Develop HOME
D0973,Act-HAC Single Fam Devel HOME
D0974,Act-HC Habitat Shuey Knolls
D0975,Act-Member Administration
D0976,Act-MHO Direct Hmbuyer HOME
D0977,Act-Single Fam Const BC
D0978,Act-NHS Single Fam Devel HOME
D0979,Act-Our Next Generation SFNC
D0980,Act-Predevelopment Loan HOME (Vet)
D0981,Act-Program Admin HOME
D0982,Act-Prospect Place HOME
D0983,Act-Rosman Apartments
D0984,Act-Self Help Homeownerships BC
D0985,Act-Sugar Hill Apts
D0986,Act-Tenant Based Rent Assist
D0987,Act-Three Seed Development
D0988,HOME - Unallocated
D0989,Act-VOA Skyland Apts
D0990,Act-Mapleton Development
D0991,Act-Single Family Home Construction
D0992,Act-Rural Home Rehabilitation
D0993,Act-Westmore Apartments
D0994,ARRA Hmlss Prvntion Rapid Resp Prog
D0998,CDBG Conversion Project
D0999,HOME Conversion Project
D1003,Fair Hous Assist Prog CY09-10
D1004,Section 108 Rehab Loan 2
D1011,Downtown Asheville National Registr
D1103,Fair Hous Assist Prog CY10-11
D1105,TIGER II East of the Riverway
D1120,Act-GO Energ Team Weather Assist
D1121,Act-Woodland Court Housing Service
D1122,Act-Housing Serv Homeless Schl Age
D1123,Act-Workforce Housing Dev Service
D1124,Act-Moog Music Relocation
D1125,Act-Beulah Chapel Storm Drainage
D1126,Act-Adult Day Act Building
D1160,Act-Woodland Court Subdivision
D1161,Act-Mapleton / Ridgecrest
D1162,Act-Oak Haven Dev
D1163,Act-Self Help Hsg Dev - Black Mntn
D1164,Act-Larchmont Dev
D1165,Act-English Hills Dev
D1166,ACT-WCCA - TBRA
D1201,Preservation Plan Study
D1203,Fair Hous Assist Prog CY11-12
D1220,Act-Walker Heights
D1221,Act-Students-at-Risk
D1260,Act-BC-Tenant Based Rent Assist
D1261,Act-Dodd Meadows
D1262,Act-Stacys House
D1263,Act-Ridgcrest Single Fam Dev
D1264,Act-Single Fam Scattered Site Dev
D1265,Act-Eagle Market Place Housing Dev
D1266,Act-Predevelopment Rental Housing
D1267,Act-Predevelopment MultiFam Housing
D1301,HUD SPG - Special Projects Grant
D1302,ESG - Emergency Response
D1303,ESG - Housing Stabilization
D1320,Act-Residences Glen Rock Hotel - BC
D1321,Act-Homeless Prevent & Rapid Rehsg
D1322,Act-Rose St Facility Expansion
D1323,Act-CHC-MC-Single Family Home
D1360,Act-Braeburn Apartments
D1364,Act-Hillcrest (Formerly Ridgecrest)
D1402,ESG - Emergency Response FY 14
D1403,ESG - Housing Stabilization FY 14
D1404,Continuum of Care Grant
D1420,Act-Home Repair
D1421,Act-Parks Spray Ground WG Center
D1422,Act-Fair Housing Outreach and Ed
D1423,Act-Academic Enhancement
D1460,Act-Dodd Meadow Phase II
D1461,Act-TBRA Hend Rapid Re-Housing Prgm
D1462,Act-Hillcrest (Formerly Ridgecrest)
D1463,Act- Mars Hill Commons
D1464,Act-The Villas at Fallen Spruce
D1465,Act-Johnston Blvd Development
D9711,City Hall Bell
D9811,Architectural Study
E0401,Land of Sky Regional - MPO
E0514,TIP Enhance - East Oakview Bridge
E0601,National Weather Service Grant
E0602,MPO Grant 05/06
E0611,TIP Enhance - Pack Square
E0612,TIP Enhance - Clingman Ave 1
E0703,Dingle Creek Watershed I
E0805,Senate Bill 7 - Flood Damage
E0901,Fairview Rd Traffic Signal
E0903,Emma Infrastructure
E0904,NCDPPEA Compost Bins DENR
E1001,ARRA Coxe Ave Bike Lane
E1002,ARRA Dwntwn Streetscape
E1003,ARRA & NCCWMTF Dingle Crk
E1004,ARRA S Slope Bike Lanes
E1005,ARRA Sidewalk Gaps
E1006,ARRA Kimberly Ave Resrf
E1008,ARRA NC Diesel Emmissions
E1013,N. Louisiana Phase 1
E1014,N. Louisiana Phase 2
E1021,ARRA NCDHHS Summr Intrn - Engineer
E1201,Recycling Carts
E1202,Craven St Improvements
E1401,RADTIP
E1402,Recycling Containers for Downtown
E1403,Eagle Market Place
E1404,Handy Park
F0400,Fire Station #6
F0500,Fire Station #11
F0600,Fire Station #12
F0602,Hazmat Grant 2006
F0603,Fire Private Donations
F0702,Hazmat Grant 2007
F0802,Hazmat Grant 2008
F0902,Hazmat Grant 2009
F0906,Assistance to Firefighters DHS-FEMA
F1002,Hazmat Grant 2010
F1004,VIPER Interop Gateways
F1005,Medical Ambulance Bus
F1006,Buffer Zone Protection Program 08
F1007,NCDCCPS Emerg Mngmt Wrlss Tele Eqpt
F1099,TRANSCAER Hazmat Study
F1101,Aerial Ladder Truck
F1102,Hazmat Grant 2011
F9901,Fire Bell
G0621,Weed & Seed Initiative Yr 1
G0721,Weed & Seed Initiative Yr 2
G0821,Weed & Seed Initiative Yr 3
G0902,River Dist Brownfields Gr
G0903,URTV 2008-101-80315-102
G0904,Gov TV Equipment
G0905,RENCI - Grove Arcade Lease
G0906,Radio Upgrades FY2010
G0921,Weed & Seed Initiative Yr 4
G0922,21st Cent Community Learn Cntr Summ
G0923,Safe Neighborhoods
G1000,EECBG Administration Project
G1001,EECBG Fire Station 6 Solar Thermal
G1002,EECBG Fire Station 8 Weatherization
G1003,EECBG Bldg Inspect & Bldg Maint trn
G1004,EECBG Civic Center Banqt Hall HVAC
G1005,EECBG IT Server Downsizing
G1006,EECBG City Hall Lighting Retrofit
G1007,EECBG Competitive Grants Projects
G1021,Weed & Seed Initiative Yr 5
G1022,21st Cent Community Learn Cntr Yr 1
G1100,ARRA LEAP Loc Enrgy Assurance Plann
G1101,Interactive Recycling Center - DENR
G1108,ARRA - CNG Vehicles - Blue Skies
G1109,ARRA - CNG Station - Blue Skies
G1122,21st Cent Community Learn Cntr Yr 3
G1201,Green Projects
G1202,Vehicle Replacements 2012
G1222,21st Cent Community Learn Cntr Yr 4
G1301,Vehicle Replacement
G1401,Vehicle Replacement FY 2014
G1402,Computer Purchases
G1403,Changing Together Pass thru Grant
G1405,Z. Smith Reynolds Foundation Grant
H0801,CAYLA Program
I0601,VOIP Telephone
I0801,HTE Replacement
I0802,Radio Replacements
I0901,Develop Revenue Improvement
I0902,Radio Replacements
I0903,Tower Management
I1201,Public Safety Radios
I1202,Integrated Document Mngmnt System
I1301,FY13 Radio Systems Update
INFO,Project Accounting Information
K0001,Sidewalks - East
K0002,Sidewalks - West
K0003,TIP Enhance - Avon Rd Haw Crk
K0501,Riverbend Traffic Calm
K0601,Traffic Calming
K0602,Yorkshire Widening
K0603,Grove Park Traffic
K0701,TIP Enhance - Patton Ave
K0801,General Sidewalks 2008
K0802,Patton Pedestr Signal
K0803,Coll / Charl Signal
K0804,Clingman Streetscape
K0805,General Streets 2008
K0901,General Sidewalks 2009
K0902,Jail Annex Paving
K0903,Burton St Traffic Calm
K0904,Traffic Safety Projects
K0905,General Streets 2009
K1000,General Sidewalks 2010
K1001,Dev Fees in lieu of citywide sidew
K1002,Dogwood Grove
K1030,General Streets 2010
K1101,General Sidewalks 2011
K1102,Deaverview Bridge
K1103,Ridge Avenue
K1104,Azalea Road Street Improvements
K1105,General Streets 2011
K1106,Northwood Drive Street Improvement
K1107,South Lexington Avenue
K1201,New Sidewalk Construction 2012
K1202,Melrose Ave - Sullivan
K1203,Cherokee Sunset Wall
K1204,Kennilworth Knoll Sidewalk
K1205,Tunnel Rd Sidewalk 2012
K1206,Patton Ave Sidewalk 2012
K1207,Overlook Rd Sidewalk 2012
K1208,Lakeshore Dr #2
K1209,Montford St Rebuild 2012
K1210,Wild Cherry Bridge 2012
K1211,Street Maintenance FY12
K1301,Haywood Rd Multi-Model Improv.
K1401,New Sidewalk - Shiloh Road
K1402,Cedar Street Bridge Rebuild
K1403,Martin Luther King St Rebuild
K1404,Hendersonville Road Sidewalk
K1405,Finalee Ave
K1422,FEMA: SUNSET DRIVE
K1423,FEMA Bent Tree
K1424,FEMA SPooks Branch Road
K1425,FEMA Skyview Place
K1426,FEMA Gashes Creek
K1427,FEMA Fire Support
K1428,FEMA Parks/Streets Debris clean-up
K1429,FEMA Small Projects
M0601,SWR - SCMP - Long Shoals Rd
M0801,SWR - SCAX - Sardis Rd
M0901,SWR - General Sewer Cap Proj
M1001,2010 Airport Rd Sewer Annexation 1
M1101,2005 Airport Road Sewer Annexation
M9501,Sewer West Area
P0601,JAG 2006
P0603,COPS Meth 2006
P0701,JAG 2007
P0801,JAG 2008
P0803,COPS Meth 2008
P0804,BYRNE Grant 2008
P0905,OCDETF 2009
P0906,JAG 2009 BYRNE LocSol
P0907,Bulletproof Vest Partnership
P0911,Federal Forfeitures
P0912,State Forfeitures
P0916,ARRA - JAG 2009 BYRNE Loc Sol
P1002,NCGCC GangViolPrevProj 09
P1006,JAG 2010
P1008,Emergency Mngmt Bomb Unit
P1099,Target Grant 2009
P1100,HIDTA ONDCP 2010 Funding
P1102,HIDTA ONDCP 2011 Funding
P1106,JAG 2011
P1107,Bulletproof Vest Partnership 2011
P1200,HIDTA ONDCP 2012 Funding
P1206,JAG 2012
P1207,Bulletproof Vest Partnership 2012
P1301,Purdue Pharma Prescrip Drug Program
P1303,EOD NCDCCPS Grant 2011
P1305,OCDETF Overtime Reimbursement
P1306,JAG 2013
P1307,Bulletproof Vest Partnership 2013
P1400,Governor's Highway Safety Program
P1401,NCGHSP - DWI Task Force
P9999,Police Private Donations
Q1401,RADTIP
Q1402,Recycling Containers for Downtown
Q1403,Eagle Market Place
Q1404,Handi Park and Flying Frog
Q1405,Park Avenue Bridge Repair/Rebuild
Q1406,Art Museum HVAC System Replcement
R0201,Fr Brd River Corr Conn
R0301,Cultural Ren Art Program 1
R0401,Fr Brd Rivr - Hominy Crk Grnwy
R0402,Memorial Stadium Renovation
R0431,Senior Opportunity 2004
R0501,Livingston St Center
R0502,Richmond Hill Park
R0503,Aston Park
R0631,Senior Opportunity 2006
R0702,Reed Crk Grnwy Ph II
R0703,Reed Crk Grnwy Ph IV
R0731,Senior Opportunity 2007
R0801,Swimming Pool Maintenance
R0802,Public Art Maint.
R0803,Veteran's Memorial
R0804,Richmond Hill Park Rain Garden
R0805,Burton St Renovation
R0806,Building Maintenance
R0807,McCormick Field Tourists' Lease
R0808,Public Art Allocation
R0809,Reed Creek Restoration
R0810,Rec Center Roof Repairs
R0811,Cultural Ren Art Program 2
R0831,Senior Opportunity 2008
R0832,Harvest House 2008
R0860,Golf Course Irrigation
R0902,City Hall Ventilation Clean
R0931,Senior Opportunity 2009
R0932,Harvest House 2009
R0941,Friends of the Nature Center
R0942,AVL Parks & Grnway Foundation
R0943,Parks Direct Private Donations
R0955,Completed Parks Projects
R0956,Jake Rusher Project
R1001,Grant Center Splash Pad
R1002,FIT Community Grant
R1003,Red Wolf Exhibit Improvements
R1004,Veterinary & Isolation Facility
R1005,Waller Land Purchase
R1011,2010 WNC Nature Cntr Spcl Approp
R1031,Senior Opportunity 2010
R1032,Harvest House 2010
R1041,Otter Pond - Friends of the Ntr Ctr
R1101,Rec Center Improvements FY11
R1102,Park/Facilities Improvements FY11
R1103,Land Acquisition/Greenway Design
R1104,Nature Center Improvements
R1105,Pub Art at Riverbend Park
R1106,Pub art at Reed Creek Greenway
R1107,Public Artist of the Year
R1108,NC Arts Council 2011
R1111,2011 WNC Nature Cntr Spcl Approp
R1131,Senior Opportunity 2011
R1132,Harvest House 2011
R1141,WNC Ntr Cntr Playground
R1201,Beaucatcher Greenway
R1202,Public Art Acquisition
R1211,2012 WNC Nature Cntr Spcl Approp
R1301,Town Branch Greenway
R1302,WNC Veteran Memorial & Trust
R1311,2013 WNC Nature Cntr Spcl Approp
R1401,McCormick Field Clubhouse
R1402,Golf Course Improvements
R1403,Clingman Greenway
R1404,French Broad River Dog Park Improve
R1405,Velodrome Improvements
R1406,Carrier Park Restroom Construction
R1407,Montford Rec Ctr Basketball Floor
R1411,Pavilion & Restrooms at Nature Ctr
R9701,Azalea Park Devopmnt
R9702,Reed Creek Greenway 1
R9703,COPS 97A Cost of Issuance
R9901,Carrier Park
S0901,STORMWATER RESERVE PROJECT
S1101,Old Toll Retaining Wall
S1201,Stormwater Vehicles
S1202,Victoria Road
S1301,Michigan Avenue
S1302,Blair Street Stormwater System
S1401,Fairway Drive Stormwater Imprv
S1402,Waynesville Ave Stormwater Imprv
S1403,Westover Drive Stormwater Imprv
S1420,FEMA Stormwater Repair
S1421,FEMA Sweepers
T0061,Battery Park Parking Deck
T0062,General Parking Capital Projects
T0161,Cushman
T0299,Very Old Completed Transit Projects
T0361,Employee Lot - Gate Equipment
T0813,TIP - Dykeman Riverway
T0822,RIDE New Freedom Grant
T0824,Automated Voice System
T0923,First 5 Hybrid Bus Purchases
T0925,Street Furniture
T0926,Fareboxes
T0960,Biltmore Avenue Garage
T0961,Wall St & Rankin Prkng Decks Restor
T0962,Wayfinding Signs
T0963,Rankin Deck Restoration
T1000,ARRA Fairview Signals
T1001,Trans Mast Plan 1 - Marketing/Brand
T1023,ARRA-FTA Second 5 Diesel Buses
T1025,Street Furniture 2
T1060,Transit Garage Project 2010
T1099,Transit Capital Reserve Project
T1101,JARC Traffic Signals
T1102,TDM Plan Creation
T1123,Bus Purchase - 2 diesel 2 hybrid
T1160,Parking Lot 16
T1201,Transit Security Cameras
T1202,Transit AVL System
T1203,Transit Shelters & Signage
T1204,CBD Signal Poles
T1205,Streetline Smart Parking
T1206,AT&T Parking Lot
T1223,Bus Purchase - 2 CNG for HC use
T1301,Transit Center Maintenance
T1302,Two Support Vehicles
T1303,JARC Mountain Mobility Project
T1304,New Freedom For Hendersonville
T1305,Bus Purchase FY13 March
T1401,Bus Replacement
T1402,Henderson Cty van purchase
Test,Test
W0001,General Projects
W0203,Critical Needs III
W0301,Treatment Upgrades
W0302,NC191 Sardis - Prkwy
W0501,Brevard Rd (I-40 & I-26)
W0601,Long Shoals I-26 & US-25
W0602,2005 Annexation
W0603,Sand Hill - Enka Lake
W0701,NCDOT Exit 44
W0702,Treatment Plant Upgrade
W0703,Distribution System
W0704,MGMT Tools/Equip
W0706,Pump Stations
W0801,I-240 Widening to North Haywood
W0802,Long Shoals at I-26
W0803,Clingman Avenue
W0804,"24"" & 36"" Main Replacement"
W0805,Flow Meters
W0807,WR08 Cost of Issuance
W0808,WR08 Hendersonville/Rosscrag Road
W0809,WR08 NC 191/Clayton Rd
W0810,WR08 Royal Pines
W0811,WR08 Central Business District
W0812,WR08 Town Mountain Tank Pump
W0813,Affordable Infill
W0815,NCDOT US70-74/Tunnel-Kenilworth
W0816,NCDOT Waterline Inspections
W0817,Auto Meter Readers
W0818,Innsbruck Mall
W0819,WR08 West Ashville / Wood Ave
W0820,WR08 Pump St/ MR Standby
W0821,WR08 Bee Tree Junction
W0822,WR08 White Fawn Junction
W0823,WR08 Valve Installations
W0824,WR08 Fairview Tank/ S. Bunc Pump
W0825,WR08 Revenue Bond Contingency
W0901,NCDOT Brevard Road I-40 & I-26
W0902,NCDOT Sandhill Road
W0903,NCDOT I-40 from I-240 & 19/23
W0904,NF/BT Upgrade Contingency
W0905,ARRA Pump System Improvement
W0906,Riceville Reservoir
W0907,New Maintenance Facility
W0908,Parker Avenue Service Line
W1001,DOT I-26 Patton to 19/23
W1002,DOT Long Shoals i-26 to US25
W1003,North Fork Lagoon #3
W1004,Reynolds Wtr Systm Imprv
W1005,Beaucatcher Tank Demolition
W1006,Allen Mountain Upgrade
W1007,Brevard Rd Waterline I26 to Mall
W1008,Meter/Vault Repair
W1009,ARRA Water Grant - WC0905
W1010,Sullivan Act
W1101,DOT I-26 Widening Project
W1102,Mills River WTP SCADA System
W1103,Maximo Upgrade
W1104,Walnut Cove Pump Replacement
W1105,Old Haw Creek Road
W1106,Water Storage Tank Maintenance
W1107,Goodson Cove Reservoir
W1108,Rate Study
W1109,Water Quality Treatment Study
W1110,Viewmont Acres Wtr Systm Imprv
W1111,Walnut Cove Tank Repair
W1201,Main Transmission Line Evaluation
W1202,Automated Valve Lowes Tunnel Rd
W1203,Bulk Water Stations
W1204,North Fork WTP Dam/ Tunnel Repairs
W1205,NF & WD WTP Road Resurfacing
W1206,Spillway Gat Inspection & Repairs
W1207,Microturbine
W1208,Calledon Subdivision WL Replacement
W1209,Chatham Rd WL Replacement
W1210,Franam Acres/ Oakbrook WL Rplcment
W1211,Horizon Hill WL Replacement
W1212,Grovemont Development WL Replacmnt
W1213,Old Haw Creek WL Replacement
W1214,Riddle Road WL Replacement
W1301,NCDOT Pond Road Bridge WL
W1302,Fairview Service Area WL Imprv
W1303,Long Street Water Line Improvements
W1304,Peach Knob Pump Station Building
W1305,Spring 2013 NEP
W1306,Dogwood Road South WL Replacement
W1307,Innsbrook & Maplewood Roads WL
W1308,McIntosh Road WL Replacement
W1309,Mountain Crest/Patton Cementary WL
W1310,Mount Carmel WL Replacement
W1311,Pearson Bridge WL Replacement
W1312,Monte Vista/Sand Hill Road WL
W1313,CTS Waterline
W1401,Gerber Road and Ball Brother Vault
W1402,Hydraulic System
W1403,NF WTP Generator Transfer Switch
W1404,Pump Station Meters
W1405,VFD Motors/Soft Starts at Pump Stat
W1406,Water Treatment Plant Improvements
W1407,Britt Drive Water-line
W1408,Fortune St/Blue Ridge Rd/Taylor St
W1409,"Gorman Bridge, River View Church WL"
W1410,"Hanover St, Penn/Richland/ Mont WL"
W1411,Hazel Mills Rd/Annie St/Richland WL
W1412,Hendersonville Road WL
W1413,Joe Jenkins Road WL
W1414,Monte Vista Place WL
W1415,"North, Northview, Forsythe, West WL"
W1416,Tiny Farm Subdivsion
W1417,Willis Way and Woodley Ave WL
W3010,Dogwood Grove Road
W3012,Dogwood Grove Rd Phase II
W3013,Ravenscroft Drive
W3014,Northwood Road
W3015,Morris Street
W3016,South Lexington Avenue
W9901,WC Matching Fund/$3 M grant
Z9999,FY09 Projects Not Carried Forward
