6500-95-21-950-0000-00000-00000-000-573001- Information Technology Charges                ,1228,-880,348,0,0,348,0.00%
6500-95-21-950-0000-00000-00000-000-574006- Health Services Charges                       ,0,0,0,0,0,0,0.00%
6500-95-21-950-0000-00000-00000-000-574008- Charges - Cost Allocations                    ,0,0,0,0,0,0,0.00%
6500-95-21-950-0000-00000-00000-000-614101- Mach & Equipment                              ,0,0,0,0,0,0,0.00%
6500-95-21-950-0000-00000-00000-000-712101- Interest Expense                              ,15450,0,15450,0,0,15450,0.00%
,,,,,,,
65009500,FTA Pass Through,,,,,,
,,,,,,,
6500-95-21-950-9500-00000-00000-000-435000- Restricted Intergov Fed Grants                ,0,0,0,0,0,0,0.00%
6500-95-21-950-9500-00000-00000-000-435507- Restr Intrgv Fed FTA - PassThr                ,-553500,0,-553500,-419967,0,-133533,75.90%
6500-95-21-950-9500-00000-00000-000-435516- Rstrtd Intrgv - FTA JARC                      ,0,0,0,0,0,0,0.00%
6500-95-21-950-9500-00000-00000-000-521001- Contracted Services                           ,0,0,0,0,0,0,0.00%
6500-95-21-950-9500-00000-00000-000-524001- Supplies - Other                              ,0,0,0,0,0,0,0.00%
6500-95-21-950-9500-00000-00000-000-524003- Supplies - Safety Equipment                   ,0,0,0,0,0,0,0.00%
6500-95-21-950-9500-00000-00000-000-524005- Supplies - Uniforms                           ,0,0,0,0,0,0,0.00%
6500-95-21-950-9500-00000-00000-000-524006- Supplies - Fleet Parts                        ,0,0,0,0,0,0,0.00%
6500-95-21-950-9500-00000-00000-000-528502- Telephone                                     ,0,0,0,0,0,0,0.00%
6500-95-21-950-9500-00000-00000-000-528505- Cellular Usage                                ,0,0,0,0,0,0,0.00%
,,,,,,,
65090950,Mass Tr Fd - Transit Admin,,,,,,
,,,,,,,
6500-99-21-950-0000-00000-00000-000-498200- Oper Transfers Grant Fund                     ,0,0,0,0,0,0,0.00%
6500-99-21-950-0000-00000-00000-000-498201- Oper Transfers CDBG Fund                      ,0,0,0,0,0,0,0.00%
6500-99-21-950-0000-00000-00000-000-498638- Oper Transfers Transit Cap Pro                ,0,0,0,0,0,0,0.00%
6500-99-21-950-0000-00000-00000-000-498641- Oper Trans from Water Cap Fd                  ,0,0,0,0,0,0,0.00%
6500-99-21-950-0000-00000-00000-000-800651- Transfer to Transit Capital Fu                ,0,0,0,0,0,0,0.00%
,,,,,,,
TOTAL Transit Administration Div    ,350579,-70922,279657,182230.47,0,97426.44,65.20%
,,,,,,,
,,,,,,,
951,Transit Operations Division,,,,,,
,,,,,,,
65000951,Mass Tr Fd - Transit Oper,,,,,,
,,,,,,,
6500-95-21-951-0000-00000-00000-000-433100- Sales Tax Refunds                             ,-24000,0,-24000,-37902.11,0,13902.11,157.90%
6500-95-21-951-0000-00000-00000-000-435000- Restrictd Intergv Fed Grants                  ,-1627000,0,-1627000,-1519423,0,-107577,93.40%
6500-95-21-951-0000-00000-00000-000-436000- Restrictd Intergv State Grants                ,-890111,0,-890111,-744179.33,0,-145931.67,83.60%
6500-95-21-951-0000-00000-00000-000-442800- Motor Vehicles Licenses                       ,-320000,0,-320000,-312874.33,0,-7125.67,97.80%
6500-95-21-951-0000-00000-00000-000-450600- Passenger Fares                               ,-700000,0,-700000,-661899.82,0,-38100.18,94.60%
6500-95-21-951-0000-00000-00000-000-450601- Contract Repairs                              ,0,0,0,0,0,0,0.00%
6500-95-21-951-0000-00000-00000-000-450602- Advertising Revenue                           ,-49000,0,-49000,-19810,0,-29190,40.40%
6500-95-21-951-0000-00000-00000-000-450603- Bulk Fare Income                              ,-70000,0,-70000,-119001.73,0,49001.73,170.00%
6500-95-21-951-0000-00000-00000-000-486000- Sale of Capital Assets                        ,0,0,0,-17968.33,0,17968.33,0.00%
6500-95-21-951-0000-00000-00000-000-489000- Other Miscellaneous Revenue                   ,0,0,0,-513.03,0,513.03,0.00%
6500-95-21-951-0000-00000-00000-000-499101- Approp Fund Bal Res for Enc                   ,0,-2527,-2527,0,0,-2526.91,0.00%
6500-95-21-951-0000-00000-00000-000-521001- Contracted Services                           ,0,0,0,0,0,0,0.00%
6500-95-21-951-0000-00000-00000-000-521002- Professional Services                         ,0,0,0,0,0,0,0.00%
6500-95-21-951-0000-00000-00000-000-521004- Rental/Lease                                  ,0,0,0,0,0,0,0.00%
6500-95-21-951-0000-00000-00000-000-521006- Services - Janitorial                         ,0,0,0,0,0,0,0.00%
6500-95-21-951-0000-00000-00000-000-521014- Transit Monthly Management Fee                ,150240,44815,195055,195054.54,0,0.46,100.00%
6500-95-21-951-0000-00000-00000-000-521015- Transit Operations Charge                     ,4664587,-44815,4619772,4437639,0,182133,96.10%
6500-95-21-951-0000-00000-00000-000-522002- Maint & Repair - Equipment                    ,0,0,0,0,0,0,0.00%
6500-95-21-951-0000-00000-00000-000-522003- Maint & Repair - Buildings                    ,0,0,0,0,0,0,0.00%
6500-95-21-951-0000-00000-00000-000-523001- Training                                      ,0,0,0,0,0,0,0.00%
6500-95-21-951-0000-00000-00000-000-523002- Dues & Subscriptions                          ,0,0,0,0,0,0,0.00%
6500-95-21-951-0000-00000-00000-000-524001- Supplies - Other                              ,0,0,0,0,0,0,0.00%
6500-95-21-951-0000-00000-00000-000-524003- Supplies - Safety Equipment                   ,0,0,0,0,0,0,0.00%
6500-95-21-951-0000-00000-00000-000-524005- Supplies - Uniforms                           ,0,0,0,0,0,0,0.00%
6500-95-21-951-0000-00000-00000-000-524006- Supplies - Fleet Parts                        ,0,0,0,0,0,0,0.00%
6500-95-21-951-0000-00000-00000-000-524009- Services - Postage                            ,0,0,0,0,0,0,0.00%
6500-95-21-951-0000-00000-00000-000-524101- Materials                                     ,0,0,0,0,0,0,0.00%
6500-95-21-951-0000-00000-00000-000-528001- Licenses Taxes & Fees                         ,0,0,0,0,0,0,0.00%
6500-95-21-951-0000-00000-00000-000-528502- Telephone                                     ,0,0,0,0,0,0,0.00%
6500-95-21-951-0000-00000-00000-000-528508- Electricity                                   ,0,0,0,0,0,0,0.00%
6500-95-21-951-0000-00000-00000-000-528522- Water and Sewer                               ,0,0,0,0,0,0,0.00%
6500-95-21-951-0000-00000-00000-000-571001- Fleet Maintenance Charges                     ,0,0,0,0,0,0,0.00%
6500-95-21-951-0000-00000-00000-000-571002- Fleet Fuel Charges                            ,0,0,0,0,0,0,0.00%
6500-95-21-951-0000-00000-00000-000-571999- Contra Fleet Charges                          ,0,0,0,0,0,0,0.00%
6500-95-21-951-0000-00000-00000-000-581091- Depreciation Expense                          ,0,0,0,0,0,0,0.00%
6500-95-21-951-0000-00000-00000-000-614101- Mach & Equipment                              ,0,0,0,6734.83,0,-6734.83,0.00%
,,,,,,,
65090951,Mass Transit Fund - Operation,,,,,,
,,,,,,,
6500-99-21-951-0000-00000-00000-000-498100- Oper Transfers from General Fd                ,-985295,0,-985295,-985295,0,0,100.00%
6500-99-21-951-0000-00000-00000-000-498101- Oper Transfers Gen Fd Subsidy                 ,0,0,0,0,0,0,0.00%
6500-99-21-951-0000-00000-00000-000-498401- Oper Transfers Cap Project Fd                 ,0,0,0,0,0,0,0.00%
6500-99-21-951-0000-00000-00000-000-498620- Oper Transfer from Prkg Srvcs                 ,0,0,0,0,0,0,0.00%
6500-99-21-951-0000-00000-00000-000-498633- Oper Transfers Parking Service                ,-500000,0,-500000,-500000,0,0,100.00%
6500-99-21-951-0000-00000-00000-000-498638- Oper Transfers Transit Cap Pro                ,0,0,0,0,0,0,0.00%
,,,,,,,
TOTAL Transit Operations Division   ,-350579,-2527,-353106,-279438.31,0,-73667.6,79.10%
,,,,,,,
,,,,,,,
999,CAFR Preparation,,,,,,
,,,,,,,
65000999,CAFR Preparation,,,,,,
,,,,,,,
6500-95-21-999-0000-00000-00000-000-486100- Gain/Loss on Disposal of CA                   ,0,0,0,0,0,0,0.00%
6500-95-21-999-0000-00000-00000-000-499910- Other Financing Sources- PPA                  ,0,0,0,0,0,0,0.00%
6500-95-21-999-0000-00000-00000-000-511001- Compensation - Full Time Reg                  ,0,0,0,918.06,0,-918.06,0.00%
6500-95-21-999-0000-00000-00000-000-512001- FICA Tax Expense                              ,0,0,0,70.23,0,-70.23,0.00%
6500-95-21-999-0000-00000-00000-000-512002- Employer - LGERS                              ,0,0,0,58.3,0,-58.3,0.00%
6500-95-21-999-0000-00000-00000-000-512005- Employer - 401(K)                             ,0,0,0,45.9,0,-45.9,0.00%
6500-95-21-999-0000-00000-00000-000-512019- Retiree OPEB Expense                          ,0,0,0,5665.36,0,-5665.36,0.00%
6500-95-21-999-0000-00000-00000-000-512024- OPEB Pension Contributions                    ,0,0,0,-5617.9,0,5617.9,0.00%
6500-95-21-999-0000-00000-00000-000-581091- Depreciation Expense                          ,0,0,0,571810.61,0,-571810.61,0.00%
6500-95-21-999-0000-00000-00000-000-612101- Buildings                                     ,0,0,0,-51551,0,51551,0.00%
6500-95-21-999-0000-00000-00000-000-614101- Mach & Equipment                              ,0,0,0,-6734.83,0,6734.83,0.00%
6500-95-21-999-0000-00000-00000-000-616101- Other Capital Outlay                          ,0,0,0,0,0,0,0.00%
6500-95-21-999-0000-00000-00000-000-800910- Other Financing Uses- PPA                     ,0,0,0,0,0,0,0.00%
,,,,,,,
TOTAL CAFR Preparation              ,0,0,0,514664.73,0,-514664.73,0.00%
,,,,,,,
TOTAL Transportation Department     ,0,-73449,-73449,417456.89,0,-490905.89,-568.40%
,,,,,,,
TOTAL Mass Transit Fund             ,0,-73449,-73449,417456.89,0,-490905.89,-568.40%
,,,,,,,
TOTAL REVENUES,-5718906,-106826,-5825732,-5502703.99,0,-323027.92,
TOTAL EXPENSES,5718906,33377,5752283,5920160.88,0,-167877.97,
,,,,,,,
GRAND TOTAL,0,-73449,-73449,417456.89,0,-490905.89,-568.40%
