Org Code,Description
11008402,GF - Spec Fac - McCormick Fld
11008403,GF - Spec Fac - Aston Park
11008404,GF - Spec Fac - Foodlion Sk Pk
11008405,GF - Spec Fac - Swim Pool Rc P
11008406,GF - Spec Fac - Swim Pool MavH
11008407,GF - Spec Fac - Swim Pool Walt
11008499,GF - Spec Fac - Swimming Pools
11008700,Specialized Programming
11090015,Community Relations
11090016,Gen Fd - Itrfd - Sustainabilit
11090017,Gen Fd- Purch Txfer
11090030,GF - Finance Administration
11090060,Gen Fd - Non-Divisional
11090061,Inter-Extra Goverment Services
11090062,Gen Fd - Empl Health Contrib
11090121,Gen Fd - Criminal Investig Div
11090122,Interfund Transfers - Police
11090210,Interfund Xfer CDBG
11090310,Public Works Administration
11090313,Gen Fd Fleet Interfund Tranfrs
11090330,Engineering Services Division
11090411,Historic Resources Division
11090800,Gen Fund - Intfd - Parks Admin
11090803,Gen Fd - Intfd - Parks Mainten
11090905,Interfund Transfers
11092153,Traffic Safety Projects
11093002,Paving
11094200,GF - Com Dev - Homeless Prog
11098400,GF-Spec-Fac-Riverside Cem Xfer
2100,Capital Reserve Fund
21000010,Cap Res Fd - Budget Division
21000050,Cap Res Fd - Information Servc
21000060,Cap Res Fd - Non-Divisional
21000110,Cap Res Fd - Fire Support Svcs
21000111,Cap Res Fd - Emergency Resp
21000120,Cap Res Fd - Police Admin Div
21000122,Cap Res Fd - Patrol Div
21000123,Cap Res Fd - Police Support
21000130,Cap Res Fd - Permiting&Insp
21000210,Cap Res Fd - Transp Admin Div
21000231,Cap Res Fd - Streets & Sidewks
21000311,Cap Res Fd - Sanitation
21000313,Cap Res Fd - Fleet Management
21000410,Cap Res Fd - Planning Serv
21000800,Cap Res Fd - Parks Admin
21000803,Cap Res Fd - Parks Maintenance
21090050,Information Services
21090060,Cap Res Fd - Non-Divisional
21090111,Cap Res Fd - Emergency Resp
21090210,Interfund Transfers
21090803,Cap Res Fd - Parks Maintenance
21090905,Cap Res Fd - Civic Ctr Cap Pro
2200,Grant Fund
22000013,Grt Fd - City Manager
22000014,City Hall Operations
22000015,Grt Fd - Community Affairs
22000016,Sustainability Division
22000040,Grt Fd - Human Resources Admin
22000060,Grt Fd - Non - Divisional
22000070,Grt Fd - Econ Development
22000110,Grt Fd - Fire Support Svcs
22000111,Emergency Response Division
22000120,Grt Fd - Police Administration
22000121,Grt Fd - Criminal Investigatio
22000122,Patrol Division
22000123,Grt Fd - Police Support
22000210,Grant Fd - Trans Admin Div
22000212,Transportation Planning Div
22000213,TIP Clingman Ave 1
22000231,Grt Fd - Streets & Sidewalks
22000310,Grt Fd - Public Works Admin
22000311,Sanitation Division
22000313,Fleet Management Division
22000320,Stormwater Administration Div
22000330,Engineering Services Division
22000410,Grt Fd - Planning Services Div
22000411,Hist Res - Hurricane Recovery
22000412,Grnt Fd - Comm Dev
22000800,Parks Administration Division
22000801,Business Services Division
22000802,Grt Fd - Cultural Arts
22000803,Parks Maintenance Division
22000804,Planning & Development Div
22000805,Pks & Grnwy Found - Recreation
22001015,Changing Together
22002100,Grt Fd - Transportation Planni
22002152,Traffic Signals
22003202,Stormwater Engineering Serv
22004207,City of Asheville
22004209,"Helpmate, Inc"
22004213,Homeward Bound of Asheville
22004215,Housing Authority of the COA
22004218,Mountain Housing Opportunities
22004231,ABCCM
22004243,Salvation Army
22008310,Harvest House Center
22008315,Senior Opportunity Center
22008401,Grt Fd - Spec Fac-WNC Nat Ctr
22008403,Aston Park Tennis Center
22090000,Grant Fund - FY09 Projects
22090015,Interfund Transfer
22090016,Grant Fd - Xfr - Sustainabilit
22090060,Non-Divisional
22090070,Interfund Transfers - RENCI
22090110,Fire Support Services Division
22090120,Police Administration Division
22090121,Criminal Investigations Div
22090122,Xfer-Patrol Division
22090210,Emma Infrastructure - MAJOR
22090212,Interfund Transfers
22090231,Grant Fd - Xfr - Streets
22090311,Sanitation Division
22090313,Xfer Fleet Management Division
22090320,Dingle Creek Watershet
22090330,Engineering Services Division
22090410,TIP Enh - Pack Square
22090411,Historic Resources Division
22090800,Interfund Transfers
22090911,Water General Operations Div
22092100,Transportation Planning
22092152,Traffic Signals
22098310,Interfund Transfers
22098315,Interfund Transfers
22098401,Interfund Transfers
2230,Community Dev Block Grant Fund
22390000,CDBG - FY09 Projects
2240,Section 108 Rehab Grant Fund
22400412,Section 108 Rehab Loan 1
22490412,Sec 108 Interfund Transfers
2250,HOME Ownership Grant Fund
2300,Housing Partnership Fund
23004100,HPF - ComDev - Aff Housing Tru
23094100,HPF - ComDev - Aff Housing Tr
3100,Debt Service Fund
31000060,Debt Service Fund - Non-Div
31090060,Interfund Xfer - Debt Serv Fnd
4100,General Capital Projects Fund
41000010,Budget Division
41000014,City Hall Operations
41000015,Gen Cap Pr Fd - Comm Affairs
41000016,Sustainability Division
41000017,Gen Cap Pr Fund- Purchasing
41000019,Gen Cap Pr Fd - Risk Division
41000031,Gen Cap Pr Fd - Accounting
41000050,Gen Cap Pr Fd - Informat Svcs
41000052,IT Support Services Division
41000053,Gen Cap Pr Fd - Technical Svcs
41000054,GIS Appl Services Division
41000060,Cap Proj Fund - Non- Division
41000070,Gen Cap Proj Fd - Econ Develop
41000110,Gen Cap Pr Fd - Fire Supp Svcs
41000111,Emergency Response Division
41000120,Cap Pr Fund- Police Admin
41000122,Gen Cap Pr Fd Patrol Division
41000123,Cap Pro Fund - Police Support
41000130,GCPF Permitting & Inspecti Div
41000131,Gen Cap Pr Fd - Building Maint
41000210,Cap Fund- Trans/Eng Admin
41000213,Gen Cap Pr Fd - Engring Svcs
41000231,Gen Cap Pr Fd - Str & Sidewlk
41000232,Cap Pr Fund- Street Lighting
41000310,Gen Cap Proj Fd - PW Admin
41000311,Cap Pr Fund - Sanitation
41000313,Gen Cp Pr Fd Fleet Management
41000320,Gen Cap Proj Fd - Stormw Admin
41000330,Eng Serv Division in Fund 4100
41000410,Gen Cap Pr Fd - Planning Serv
41000802,Gen Cap Pr Fd - Cultural Arts
41000803,Gen Cap Pr Fd - Parks Maint
41000804,Gen Cap Pr Fd - Planning & Dev
41000805,Gen Cap Pr Fd - Recreation
41000911,Water General Operations Div
4100091a,Gen Cap Pr Fd - Sewer Cap Proj
41002152,Traffic Signals
41003000,GCPF - Sidewalk - New Const
41003002,Paving
41003005,Bridges
41003112,Recycling
41003301,GCPF - Sidewalks New Construct
41008319,Gen Cap Pr Fd - Golf Course
41008401,Gen Cap Proj Fd - WNC Nature C
41008402,Cap Pr Fd - McCormick Field
41090000,Gen Cap Proj - FY09 Projects
41090010,Gen Cap Pr Fd - Budget Divisio
41090015,Gen Cap Pr Fd - Comm Affairs
41090017,Gen Cap Pr Fd - Purchasing Ope
41090019,Gen Cap Pr Fd - Risk Div Xfer
41090031,Xfer Accounting Division
41090050,Interfund Transfers
41090054,GIS Appl Services Division
41090060,Gen Cap Pr Fd - Non-Divisional
41090070,Gen Cap Proj Fd- Econ. Develop
41090110,Gen Cap Pr Fd - Fire Supp Svcs
41090130,Interfund Transfers
41090131,Gen Cap Pr Fd - Build Maint Xf
41090213,Gen Cap Pr Fd - Engineering Sv
41090231,Gen Cap Pr Fd - Str & Sidewks
41090310,Interfund Transfer - PW Admin
41090313,Gen Cp Pr Fd Fleet Mgmt Xfers
41090320,Interfund Transfer - Storm Adm
41090330,Interfund Transfers
41090410,Gen Cap Pr Fd - Plan-Dev Admin
41090800,Gen Cap Pr Fd - Parks Admin
41090802,Gen Cap Pr Fd - Cultural Arts
41090803,Interfund Transfers
41090804,Gen Cap Pr Fd - Planning & Dev
41090805,Gen Cap Pr Fd - Recreation
41090911,Xfer Water General Op Div
4109091a,Gen Cap Pr Fd - Sewer Cap Proj
41092152,Traffic Signals
41093002,Paving Interfund Transfers
41093301,Sidewalks - New Construction
41098400,Gen Cap Pr Fd - Sp Fac-Riv Cem
41098401,Interfund Transfer - WNC Natur
5100,Cemetary Perpetual Care Fund
51008400,Cemetary Fd - Sp Fac-Riv Cem
51098400,Cem Fd- Sp- Fac- Riv Cem Xfer
6100,Water Services Fund
61000910,Wtr Svc Fd - Water Admin
61000911,Wtr Svc Fd - Water Gen Oper
61000912,Wtr Svc Fd - Cust Service
61000913,Wtr Svc Fd - Water Production
61000914,Wtr Svc Fd - Meter Services
61000915,Wtr Svc Fd - Water Engineering
61000916,Wtr Svc Fd - Constr Crew
61000917,Wtr Svc Fd - Wtr Op Equipment
61000918,Wtr Svc Fd - Maint & Repairs
61000919,Wtr Svc Fd - Wtr Conservation
61000999,CAFR Preparation
61009101,Wtr Svs Fd - Meter - Backflow
61009102,Wtr Svc Fd - Wtr Mant - Pt Pvn
61009103,Wtr Svc Fd - Wtr Prod - Pumps
61009104,Wtr Svc Fd - Wtr Prod-WatFores
61009105,Wtr Svc Fd - Wtr Prod-N Frk WT
61009106,Wtr Svc Fd - Wtr Prod-W DeB WT
61009107,Wtr Svs Fd - Prod - Laboratory
61009108,Wtr Svc Fd - Wtr Prod-MilRiv W
61090911,Wtr Svc Fd - Wtr General Oper
6110,Water Capital Projects Fund
61100911,Wtr Cap Pr Fd - Water Gen Oper
61100914,Wtr Cap Pr Fd - Meter Services
61100999,CAFR Preparation
61190000,Water Cap - FY09 Projects
61190911,Wtr Cap Pr Fd - Wtr Gen Oper
6200,Parking Services Fund
62000220,Pk Svcs Fd - Parking Garage
62000221,Pk Svcs Fd - Parking Services
62000999,CAFR Preparation
62002252,Parking Fund  - Vanpooling
62090220,Pk Svcs Fd - Parking Garage
62090221,Pk Svcs Fd - Parking Services
6210,Parking Capital Projects Fund
62100220,Pk Cap Proj Fd - Parking Garag
62100221,Pk Cap Proj Fd - Parking Svcs
62100999,CAFR Preparation
62190220,Pk Cap Proj Fd - Parking Garag
62190221,Pk Cap Proj Fd - Parking Svcs
6220,Street Cut Utility Fund
62200314,Street Cut Fd - Street Cut Div
62200999,CAFR Preparation
62290314,Street Cuts Division
6240,Stormwater Fund
62400320,Stormw Fd - Stormw Admin Div
62400999,CAFR Preparation
62403200,Stormw Fd - Drainage Construct
62403201,Stromw Fd - Drainage Maintenan
62403202,Stormw Fd - Engineering Servic
62490320,Stwtr Fd - Stormwater Admin
62490330,Engineering Services Division
62493200,Interfund Transfers
6250,Stormwater Capital Projects Fd
62500320,Stormwater Admin Division
62500999,CAFR Preparation
62503200,Stormwater CAP - Drainage
62503201,StormWr Cap Fd- Drainage Maint
62590320,Transfer to Stormwater Fund
62593201,Transfer to StrmWtr Cap Fd
6260,Civic Center Fund
62600900,Civ Ctr Fd - Civic Center Admi
62600901,Civ Ctr Fd - Event Personnel
62600902,Civ Ctr Fd - Maintenance
62600903,Civ Ctr Fd - Ticket Office
62600904,Civ Ctr Fd - Concessions
62600905,Civ Ctr Fd - Civic Center Capl
62600999,CAFR Preparation
62609040,Promotional Events
62690900,Civ Ctr Fd - Civic Center Admi
6270,Civic Center Cap. Projects Fun
62700016,Sustain Div - Civic Center
62700903,Civic Ctr Cap. Proj Fd -Ticket
62700905,CC Cap Pr - Civic Center Cap
62700999,CAFR Preparation
62790000,Civic Center - FY09 Projects
62790905,CC Cap Pr - Civic Center Cap
6500,Mass Transit Fund
65000950,Mass Tr Fd - Transit Admin
65000951,Mass Tr Fd - Transit Oper
65000999,CAFR Preparation
65009500,FTA Pass Through
65090950,Mass Tr Fd - Transit Admin
65090951,Mass Transit Fund - Operation
6510,Transit Capital Projects Fund
65100950,Trans CP Fd - Transit Admin
65100951,Transit Operations Division
65100999,CAFR Preparation
65109500,FTA Pass through
65109501,Cust Inspired Srvc PassThrough
65190000,Transit Cap Proj - FY09 Projec
65190950,Trans CP Fd - Transit Admin
6700,Golf Course Fund
67000999,CAFR Preparation
67008319,Golf Course Fd - Golf Course
67090830,Golf Course Fd - Golf Course
67098319,Golf Course
6710,Golf Course Capital Project Fd
67100999,CAFR Preparation
67108319,Golf Course CP Fd - Golf  Cor
67198319,Golf Course CP Fd - Golf  Cor
6800,Festivals Fund
68000999,CAFR Preparation
68008200,Festival Fd - Festivals Admin
68008201,Festival Fd - Bele Chere
68008202,Festival Fd - Film Festival
68008203,Festival Fd - Fourth of July
68008204,Festival Fd - Community Events
68098200,Festival Fd - Festivals Admin
7100,Civic Center Agency Fund
7110,Metro Sewer Dist. Agency Fund
7900,Other Post-Employment Benefits
79000031,Accounting Division
79000060,Non-Divisional OPEB Trust
8100,Insurance Fund
81000036,Ins Fd - Grp Health-Life-Denta
81000037,Ins Fd - Workers Comp
81000038,Ins Fd - Gen Insur and Bonds
81000063,Ins Fd - Police-Fire Disabilit
81000124,Ins Fd - Police Seper Allowanc
81000999,CAFR Preparation
81090036,Ins Fd - Grp Health-Life-Denta
81090037,Ins Fd - Workers Comp
81090038,Ins Fd - Gen Insur and Bonds
81090063,Ins Fd - Police-Fire Disabilit
81090124,Ins Fd - Police Seper Allowanc
81090999,GASB Eliminate Interfd Xfers
8110,Health Insurance Fund
81100041,Health Clinic Services
81100043,Group Health Life & Dental
81100999,CAFR Preparation
8120,Workers' Compensation Fund
81200037,Workers Compensation
81200999,CAFR Preparation
8130,Property and Liability Fund
81300038,General Insurance and Bonds
81300999,CAFR Preparation
9900,Pooled Cash Fund
D0104207,CDBG - CY04-05 - COA
D0104218,CDBG CY04-05
D0104222,CDBG - CY04-05 - SPS
D0104998,CDBG Conversions CY04-05
D0194998,CDBG Conversion Interfd Xfers
D0204201,CDBG - CY05-06 - AHC
D0204207,CDBG - CY05-06 - COA
D0204218,CDBG - CY05-06 - MHO
D0204997,CDBG Conversion CY05-06
D0204998,CDBG Conversion CY05-06
D0304201,CDBG - CY06-07 - AHC
D0304207,CDBG - CY06-07 - COA
D0304215,CDBG - CY06-07 - PLS
D0304216,CDBG - CY06-07 - MBC Inc
D0304218,CDBG - CY06-07 - MHO
D0304998,CDBG Conversion CY07-08
D0394998,CDBG Conversion Interf Xfers
D0404202,CDBG - CY07-08 - AAHH
D0404207,CDBG - CY07-08 - COA
D0404216,CDBG - CY07-08 - MBC Inc
D0404217,CDBG - CY07-08 - MBW
D0404218,CDBG - CY07-08 - MHO
D0404221,CDBG - CY07-08 - PLS
D0404225,CDBG - CY07-08 - WrldChngrs
D0404998,CDBG Conversion CY07-08
D0494207,Interfund Transfers - d0801
D0494998,CDBG Conversion CY07-08
D0504202,CDBG - CY08-09 - AAHH
D0504203,CDBG - CY08-09 - ABCRC
D0504207,CDBG - CY08-09 - COA
D0504209,CDBG - CY08-09 - HPMT
D0504213,CDBG - CY08-09 - HB
D0504215,CDBG - CY08-09 - HACA
D0504216,CDBG - CY08-09 - MBC Inc
D0504217,CDBG - CY08-09 - MBW
D0504218,CDBG - CY08-09 - MHO
D0504220,CDBG - CY08-09 - OnTrack
D0504221,CDBG - CY08-09 - PLS
D0504235,CDBG - CY08-09 - World Chgrs
D0504998,CDBG Conversion CY08-09
D0594207,Interfund Transfers - d0901
D0604202,CDBG - CY09-10 - AAHH
D0604203,CDBG - CY09-10 - ABCRC
D0604207,CDBG - CY09-10 - COA
D0604209,CDBG - CY09-10 - Helpmate
D0604213,CDBG - CY09-10 - Hmward Bound
D0604217,CDBG - CY09-10 - Mntn Bizwrks
D0604218,CDBG - CY09-10 - MHO
D0604219,CDBG - CY09-10 - CHDO OpExp
D0604220,CDBG - CY09-10 - OnTrack
D0604221,CDBG - CY09-10 - PLS
D0604222,CDBG - CY09-10 - SPS
D0604228,CDBG - CY09-10  - Eagle MSDC
D0604998,CDBG Conversion CY09-10
D0694207,CDBG - CY09-10 - COA
D0694998,CDBG Conversion Intrfd Xfer
D0704202,CDBG CY10-11
D0704203,CDBG CY10-11
D0704207,CDBG CY10-11
D0704209,CDBG CY10-11
D0704213,CDBG CY10-11
D0704217,CDBG CY10-11
D0704218,CDBG CY10-11
D0704220,CDBG CY10-11
D0704221,CDBG CY10-11
D0704228,CDBG CY10-11
D0704229,CDBG CY10-11
D0704232,CDBG CY10-11
D0704237,CDBG CY10-11
D0704238,CDBG CY10-11
D0704239,CDBG CY10-11
D0794207,City of Asheville
D0804202,CDBG CY11-12
D0804203,CDBG CY11-12
D0804207,CDBG CY11-12
D0804209,CDBG CY11-12
D0804213,CDBG CY11-12
D0804215,CDBG CY11-12
D0804217,CDBG CY11-12
D0804218,CDBG CY11-12
D0804220,CDBG CY11-12
D0804221,CDBG CY11-12
D0804229,CDBG CY11-12
D0804232,CDBG CY11-12
D0804242,Partners Unlimited
D0894207,CDBG CY11-12
D0904202,Ashe Area Habitat for Humanity
D0904207,CDBG CY12-13
D0904209,"Helpmate, Inc"
D0904213,Homeward Bound of Asheville
D0904217,Mountain Bizworks
D0904218,Mountain Housing Opportunities
D0904220,OnTrack Financial Ed & Counsel
D0904221,Pisgah Legal Services
D0904229,Green Opportunities
D0904231,ABCCM
D0904232,Eblen Kimmel Charities
D0904239,Irene Wortham Center
D0994207,CDBG CY12-13
D1004202,CDBG CY13-14
D1004203,CDBG CY13-14
D1004207,CDBG - COA Admin
D1004209,CDBG CY13-14
D1004213,CDBG CY13-14
D1004217,CDBG CY13-14
D1004218,CDBG CY13-14
D1004220,CDBG CY13-14
D1004221,CDBG CY13-14
D1004229,CDBG CY13-14
D1004231,CDBG CY13-14
D1004232,CDBG CY13-14
D1004242,CDBG CY13-14
D1094207,CDBG CY13-14
D1104207,CDBG CY14-15
D2104205,HOME - CY04-05 - BCFD
D2104207,HOME - CY04-05 - COA
D2104212,HOME - CY04-05 - HmCnsrtm
D2104218,HOME - CY04-05 - MHO
D2104999,CDBG Conversion CY04-05
D2204202,HOME - CY05-06 - AAHH
D2204206,HOME - CY05-06 - BCP
D2204207,HOME - CY05-06 - COA
D2204212,HOME - CY05-06 - Hm Consortium
D2204218,HOME - CY05-06 - MHO
D2204999,HOME Conversion CY05-06
D2304207,HOME - CY06-07 - COA
D2304210,HOME - CY06-07 - HCHH
D2304212,HOME - CY06-07 - Home Consort
D2304218,HOME - CY06-07 - MHO
D2304220,HOME - CY06-07 - OnTrack
D2304999,HOME Conversion CY06-07
D2404204,HOME - CY07-08 - BC
D2404207,HOME - CY07-08 - COA
D2404208,HOME - CY07-08 - CHCMC
D2404210,HOME - CY07-08 - HCHH
D2404211,HOME - CY07-08 - HC
D2404212,Home Consortium
D2404213,HOME - CY07-08 - HB
D2404214,HOME - CY07-08 - HAC
D2404218,HOME - CY07-08 - MHO
D2404219,HOME - CY07-08 - Various Vndrs
D2404220,HOME - CY07-08 - On Track
D2404223,HOME - CY07-08 - Vols Caro
D2404999,HOME Conversion CY07-08
D2504204,HOME - CY08-09 - BC
D2504207,HOME - CY08-09 - COA
D2504208,HOME - CY08-09 - CHCMC
D2504210,HOME - CY08-09 - HCHH
D2504211,HOME - CY08-09 - HC
D2504212,HOME CY08-09
D2504213,HOME - CY08-09 - Hmwrd Bd
D2504214,HOME - CY08-09 - HAC
D2504218,HOME - CY08-09 - MHO
D2504219,HOME - CY08-09 - Various vndrs
D2504220,HOME - CY08-09 - OnTrack
D2504241,HOME - CY08-09 - WCCA
D2604202,HOME CY09-10
D2604204,HOME - CY09-10 - BC
D2604207,HOME - CY09-10 - COA
D2604208,HOME - CY09-10 - MCCHC
D2604210,HOME - CY09-10 - HCHH
D2604212,HOME CY09-10 - Home Consortium
D2604213,HOME - CY09-10 - Hmwrd Bound
D2604214,HOME - CY09-10 - HAC
D2604215,HOME - CY09-10 - HACOA
D2604218,HOME - CY09-10 - MHO
D2604219,HOME - CY09-10 - CHDO OpExp
D2604220,HOME - CY09-10 - OnTrack
D2604225,HOME - CY09-10 - COA MHO
D2604226,HOME - CY09-10 - BC MHO
D2604241,HOME - CY09-10 - AAHH
D2604999,HOME Conversion CY09-10
D2704202,HOME CY10-11
D2704207,HOME CY10-11
D2704208,HOME CY10-11
D2704210,HOME CY10-11
D2704212,HOME CY10-11 - Home Consortium
D2704213,HOME CY10-11
D2704214,HOME CY10-11
D2704215,HOME CY10-11
D2704218,HOME CY10-11
D2704219,HOME CY10-11
D2704220,HOME CY10-11
D2704226,HOME CY10-11
D2704240,HOME CY10-11
D2704241,HOME CY10-11
D2804207,HOME CY11-12
D2804208,HOME CY11-12
D2804210,HOME CY11-12
D2804213,HOME CY11-12
D2804214,HOME CY11-12
D2804215,HOME CY11-12
D2804218,HOME CY11-12
D2804219,HOME CY11-12
D2804220,HOME CY11-12
D2804224,HOME CY11-12
D2804232,HOME CY11-12
D2904207,HOME CY12-13
D2904208,Madison Co Comm Hous Coalition
D2904210,Hend Co Habitat for Humanity
D2904213,Homeward Bound of Asheville
D2904214,Housing Assistance Corp
D2904215,Housing Authority of the COA
D2904218,Mountain Housing Opportunities
D2904220,OnTrack Financial Ed & Counsel
D2904231,ABCCM
D2904232,Eblen Kimmel Charities
D2904241,Western Carolina Community
D3004202,HOME CY13-14
D3004207,HOME - COA Admin
D3004208,HOME CY13-14
D3004210,HOME CY13-14
D3004213,HOME CY13-14
D3004214,HOME CY13-14
D3004218,HOME CY13-14
D3004231,HOME CY13-14
D3004232,HOME CY13-14
D3104207,HOME CY14-15
D6100412,Section 108 Rehab Grant Fund
D6200412,Section 108 Rehab Loan 2
D7504207,ARRA - HPRRP - Admin
D7504221,ARRA - HPRRP - PLS
D7504231,ARRA - HPRRP - ABCCM
D7504232,ARRA - HPRRP - Eblen
D7504233,ARRA - HPRRP - United Way 211
D7504234,ARRA - HPRRP - WNCAP
D8504207,ARRA - CDBG-R - COA
D8504216,ARRA - CDBG-R - MBC Inc
D8504218,ARRA - CDBG-R - MHO
D8504236,CDBG-R Community Dev ARRA
D8594207,ARRA - CDBG-R - Xfer
D9100411,CLG
E0100330,TIP Enhance - Clingman Ave 1
E0200330,TIP Clingman Ave 2
E0300016,Energy Effic and Conservation
E0400330,ARRA Summer Intern Eng Serv
E0500210,TIP Enhance - East Oakview Bri
E0500330,TIP Enhance - East Oakview Bri
E0590210,TIP Oakview Bridge - Xfer
E0600330,TIP Pack Sq - MAJOR - Trns Eng
E0600410,TIP Pack Sq - MAJOR - Plan Adm
E0800330,TIP Enhance - Pack Square 2
E1090213,TIP Patton Ave - Xfer
E1200213,Engin Serv - TIP AvnRd HawCr
E1200231,TIP Avn Rd HawCr - Streets
E1290213,Xfer - Eng Serv - TIP Avn Haw
E1290231,TIP Avn HawCr - Xfer - Streets
E1600210,Safe Routes to School
E1700330,U-5186 Sidewalk Gaps Fed
E1800330,U-5173 Coxe Ave Bike Lane
E1900330,U-5174 Dwntwn Streetscape
E2000330,U-5177 S Slope Bike Lanes
E2100330,U-5186 Sidewalk Gaps State
E2200330,U-5187 Kimberly Ave Resrf
E4100320,Senate Bill 7 - W07019
E4200320,Senate Bill 7 - W07021
E4300320,Senate Bill 7 - W07022
E4500320,Dingle Creek Watershed
E4600320,ARRA & NCCWMTF Dingle Crk
E5000311,FTA FY09 Op & Cap Grant
E5000803,Richmond Hill Pk Rain Garden
E6000320,Stormwater - Hurricane Recov
E8000313,NC Diesel Emmissions
F2000110,Hazmat Grant 2006
F2100110,Hazmat Grant 2007
F2200110,Hazmat Grant 2008
F2300110,RRT-6 NC Hazmat - DHS
F2400110,Hazmat Grant 2010
F4000110,VIPER Interop Gateways
F5000110,Medical Ambulance Bus
F6000110,Assistance to Firefighters Grt
F6100111,Buffer Zone Protection Program
F7100111,NCDCCPS Wireless Telcomm Eqpmt
G0000016,ARRA Energy Eff Com Blck Grnt
G0100015,Weed & Seed Initiative Year 5
