6220-20-31-314-0000-00000-00000-000-512002- Employer - LGERS                              ,0,30942,30942,25515.76,0,5426.24,82.50%
6220-20-31-314-0000-00000-00000-000-512005- Employer - 401(K)                             ,0,25785,25785,20009.32,0,5775.68,77.60%
6220-20-31-314-0000-00000-00000-000-512010- Workers Compensation                          ,0,0,0,0,0,0,0.00%
6220-20-31-314-0000-00000-00000-000-512011- Unemployment                                  ,0,0,0,0,0,0,0.00%
6220-20-31-314-0000-00000-00000-000-512012- Vehicle Allowance                             ,0,0,0,0,0,0,0.00%
6220-20-31-314-0000-00000-00000-000-512014- Group Insurance Expense                       ,0,156179,156179,156179,0,0,100.00%
6220-20-31-314-0000-00000-00000-000-512024- OPEB Pension Contributions                    ,0,0,0,0,0,0,0.00%
6220-20-31-314-0000-00000-00000-000-521001- Contracted Services                           ,0,1000,1000,693.61,0,306.39,69.40%
6220-20-31-314-0000-00000-00000-000-521002- Professional Services                         ,0,0,0,0,0,0,0.00%
6220-20-31-314-0000-00000-00000-000-521004- Rental/Lease                                  ,0,0,0,0,0,0,0.00%
6220-20-31-314-0000-00000-00000-000-521008- Services - Copying and Dupl                   ,0,272,272,146,0,126,53.70%
6220-20-31-314-0000-00000-00000-000-521009- Services - Advertising                        ,0,1000,1000,0,0,1000,0.00%
6220-20-31-314-0000-00000-00000-000-522002- Maint & Repair - Equipment                    ,0,3500,3500,0,0,3500,0.00%
6220-20-31-314-0000-00000-00000-000-522997- Maint & Repairs - FEMA                        ,0,0,0,0,0,0,0.00%
6220-20-31-314-0000-00000-00000-000-523001- Training                                      ,0,6000,6000,519,0,5481,8.70%
6220-20-31-314-0000-00000-00000-000-523002- Dues & Subscriptions                          ,0,0,0,0,0,0,0.00%
6220-20-31-314-0000-00000-00000-000-524001- Supplies - Other                              ,307947,-152882,155065,77162.56,0,77902.44,49.80%
6220-20-31-314-0000-00000-00000-000-524003- Supplies - Safety Equipment                   ,0,10000,10000,1425.74,0,8574.26,14.30%
6220-20-31-314-0000-00000-00000-000-524004- Supplies - Books/Audio Visual                 ,0,500,500,0,0,500,0.00%
6220-20-31-314-0000-00000-00000-000-524005- Supplies - Uniforms                           ,0,1000,1000,973.04,0,26.96,97.30%
6220-20-31-314-0000-00000-00000-000-524101- Materials                                     ,254250,0,254250,241857.25,0,12392.75,95.10%
6220-20-31-314-0000-00000-00000-000-524997- Contra Non-Labor - FEMA                       ,0,0,0,0,0,0,0.00%
6220-20-31-314-0000-00000-00000-000-525001- Insurance & Bonds                             ,0,0,0,0,0,0,0.00%
6220-20-31-314-0000-00000-00000-000-528001- Licenses Taxes & Fees                         ,0,752,752,310,0,442,41.20%
6220-20-31-314-0000-00000-00000-000-528013- Contingencies                                 ,0,0,0,0,0,0,0.00%
6220-20-31-314-0000-00000-00000-000-528102- Tipping Fees                                  ,0,0,0,0,0,0,0.00%
6220-20-31-314-0000-00000-00000-000-528202- Bad Debts                                     ,0,0,0,0,0,0,0.00%
6220-20-31-314-0000-00000-00000-000-528502- Telephone                                     ,0,1248,1248,873.38,0,374.62,70.00%
6220-20-31-314-0000-00000-00000-000-528503- Long Distance                                 ,0,0,0,0,0,0,0.00%
6220-20-31-314-0000-00000-00000-000-528504- Radio Charges                                 ,0,4560,4560,1911,0,2649,41.90%
6220-20-31-314-0000-00000-00000-000-528505- Cellular Usage                                ,0,4500,4500,3277.03,0,1222.97,72.80%
6220-20-31-314-0000-00000-00000-000-528506- Pager Service                                 ,0,0,0,0,0,0,0.00%
6220-20-31-314-0000-00000-00000-000-571001- Fleet Maintenance Charges                     ,0,80000,80000,83299.16,0,-3299.16,104.10%
6220-20-31-314-0000-00000-00000-000-571002- Fleet Fuel Charges                            ,0,0,0,0,0,0,0.00%
6220-20-31-314-0000-00000-00000-000-571004- Motor Pool Charges                            ,0,0,0,0,0,0,0.00%
6220-20-31-314-0000-00000-00000-000-571999- Contra Fleet Charges                          ,0,0,0,0,0,0,0.00%
6220-20-31-314-0000-00000-00000-000-574008- Charges - Cost Allocations                    ,0,0,0,0,0,0,0.00%
6220-20-31-314-0000-00000-00000-000-581091- Depreciation Expense                          ,0,0,0,0,0,0,0.00%
6220-20-31-314-0000-00000-00000-000-614101- Mach & Equipment                              ,213643,13550,227193,172886.48,0,54306.52,76.10%
6220-20-31-314-0000-00000-00000-000-616101- Other Capital Outlay                          ,0,0,0,0,0,0,0.00%
6220-20-31-314-0000-00000-00000-000-711101- Principal Payments                            ,0,0,0,0,0,0,0.00%
6220-20-31-314-0000-00000-00000-000-712101- Interest Expense                              ,0,0,0,945.13,0,-945.13,0.00%
6220-20-31-314-0000-00000-00000-000-712201- Debt Issuance Cost                            ,0,0,0,0,0,0,0.00%
6220-20-31-314-0000-00000-00000-000-712210- Amortization of Debt Iss Costs                ,0,0,0,0,0,0,0.00%
,,,,,,,
62290314,Street Cuts Division,,,,,,
,,,,,,,
6220-99-31-314-0000-00000-00000-000-498301- Tr From Water Fd - Street Cut                 ,-868054,0,-868054,-1084299,0,216245,124.90%
6220-99-31-314-0000-00000-00000-000-498302- Tr From Stormw Fd - Street Cut                ,-78914,0,-78914,-46239,0,-32675,58.60%
,,,,,,,
TOTAL Street Cuts Division          ,0,0,0,11450.21,0,-11450.21,0.00%
,,,,,,,
,,,,,,,
999,CAFR Preparation,,,,,,
,,,,,,,
62200999,CAFR Preparation,,,,,,
,,,,,,,
6220-20-31-999-0000-00000-00000-000-450003- Sales & Serv - Cap Recov Fee                  ,0,0,0,0,0,0,0.00%
6220-20-31-999-0000-00000-00000-000-492000- Installment Purch Proceed                     ,0,0,0,0,0,0,0.00%
6220-20-31-999-0000-00000-00000-000-492001- Installment Purch Premiums                    ,0,0,0,0,0,0,0.00%
6220-20-31-999-0000-00000-00000-000-511001- Compensation - Full Time Reg                  ,0,0,0,40447.29,0,-40447.29,0.00%
6220-20-31-999-0000-00000-00000-000-512001- FICA Tax Expense                              ,0,0,0,3094.22,0,-3094.22,0.00%
6220-20-31-999-0000-00000-00000-000-512002- Employer - LGERS                              ,0,0,0,2568.4,0,-2568.4,0.00%
6220-20-31-999-0000-00000-00000-000-512005- Employer - 401(K)                             ,0,0,0,2022.36,0,-2022.36,0.00%
6220-20-31-999-0000-00000-00000-000-512019- Retiree OPEB Expense                          ,0,0,0,5853.19,0,-5853.19,0.00%
6220-20-31-999-0000-00000-00000-000-512024- OPEB Pension Contributions                    ,0,0,0,0,0,0,0.00%
6220-20-31-999-0000-00000-00000-000-581091- Depreciation Expense                          ,0,0,0,9608.03,0,-9608.03,0.00%
6220-20-31-999-0000-00000-00000-000-611101- Land                                          ,0,0,0,0,0,0,0.00%
6220-20-31-999-0000-00000-00000-000-612101- Buildings                                     ,0,0,0,0,0,0,0.00%
6220-20-31-999-0000-00000-00000-000-614101- Mach & Equipment                              ,0,0,0,-172886.48,0,172886.48,0.00%
6220-20-31-999-0000-00000-00000-000-615101- Infrastructure                                ,0,0,0,0,0,0,0.00%
6220-20-31-999-0000-00000-00000-000-712101- Interest Expense                              ,0,0,0,0,0,0,0.00%
,,,,,,,
TOTAL CAFR Preparation              ,0,0,0,-109292.99,0,109292.99,0.00%
,,,,,,,
TOTAL Public Works Department       ,0,0,0,-97842.78,0,97842.78,0.00%
,,,,,,,
TOTAL Street Cut Utility Fund       ,0,0,0,-97842.78,0,97842.78,0.00%
,,,,,,,
TOTAL REVENUES,-1578280,0,-1578280,-1170538,0,-407742,
TOTAL EXPENSES,1578280,0,1578280,1072695.22,0,505584.78,
,,,,,,,
GRAND TOTAL,0,0,0,-97842.78,0,97842.78,0.00%
