6500-95-21-950-0000-00000-00000-000-512002- Employer - LGERS                              ,9245,0,9245,9642.43,0,-397.43,104.30%
6500-95-21-950-0000-00000-00000-000-512005- Employer - 401(K)                             ,7280,0,7280,7561.95,0,-281.95,103.90%
6500-95-21-950-0000-00000-00000-000-512010- Workers Compensation                          ,0,0,0,0,0,0,0.00%
6500-95-21-950-0000-00000-00000-000-512011- Unemployment                                  ,0,0,0,0,0,0,0.00%
6500-95-21-950-0000-00000-00000-000-512014- Group Insurance Expense                       ,26774,0,26774,26774,0,0,100.00%
6500-95-21-950-0000-00000-00000-000-512024- OPEB Pension Contributions                    ,0,0,0,0,0,0,0.00%
6500-95-21-950-0000-00000-00000-000-521001- Contracted Services                           ,0,1948,1948,645,0,1303,33.10%
6500-95-21-950-0000-00000-00000-000-521002- Professional Services                         ,1500,-1500,0,0,0,0,0.00%
6500-95-21-950-0000-00000-00000-000-521004- Rental/Lease                                  ,0,100,100,100,0,0,100.00%
6500-95-21-950-0000-00000-00000-000-521005- Rental/Lease - Computers                      ,704,558,1262,791.19,0,470.81,62.70%
6500-95-21-950-0000-00000-00000-000-521008- Services - Copying and Dupl                   ,3500,-1451,2049,0,0,2048.96,0.00%
6500-95-21-950-0000-00000-00000-000-521009- Services - Advertising                        ,0,0,0,0,0,0,0.00%
6500-95-21-950-0000-00000-00000-000-523001- Training                                      ,4000,-730,3270,4194.52,0,-924.52,128.30%
6500-95-21-950-0000-00000-00000-000-523002- Dues & Subscriptions                          ,500,430,930,927.75,0,2.25,99.80%
6500-95-21-950-0000-00000-00000-000-524001- Supplies - Other                              ,500,3390,3890,1200.04,0,2689.96,30.80%
6500-95-21-950-0000-00000-00000-000-524009- Services - Postage                            ,200,412,612,381.64,0,230.36,62.40%
6500-95-21-950-0000-00000-00000-000-524101- Materials                                     ,800,0,800,32.21,0,767.79,4.00%
6500-95-21-950-0000-00000-00000-000-525001- Insurance & Bonds                             ,108829,0,108829,108829,0,0,100.00%
6500-95-21-950-0000-00000-00000-000-527102- Transit Pass Through Grant                    ,553500,0,553500,161051,0,392449,29.10%
6500-95-21-950-0000-00000-00000-000-528001- Licenses Taxes & Fees                         ,0,0,0,0,0,0,0.00%
6500-95-21-950-0000-00000-00000-000-528005- Bank Fees                                     ,0,0,0,0,0,0,0.00%
6500-95-21-950-0000-00000-00000-000-528013- Contingencies                                 ,0,0,0,0,0,0,0.00%
6500-95-21-950-0000-00000-00000-000-528301- Emergency Notification System                 ,0,0,0,0,0,0,0.00%
6500-95-21-950-0000-00000-00000-000-528502- Telephone                                     ,800,56,856,992.52,0,-136.52,115.90%
6500-95-21-950-0000-00000-00000-000-528503- Long Distance                                 ,0,0,0,0,0,0,0.00%
6500-95-21-950-0000-00000-00000-000-528504- Radio Charges                                 ,11000,0,11000,7680,0,3320,69.80%
6500-95-21-950-0000-00000-00000-000-528505- Cellular Usage                                ,900,0,900,1000.19,0,-100.19,111.10%
6500-95-21-950-0000-00000-00000-000-528999- Other Expense                                 ,0,0,0,0,0,0,0.00%
6500-95-21-950-0000-00000-00000-000-571001- Fleet Maintenance Charges                     ,0,0,0,0,0,0,0.00%
6500-95-21-950-0000-00000-00000-000-571004- Motor Pool Charges                            ,0,0,0,0,0,0,0.00%
6500-95-21-950-0000-00000-00000-000-573001- Information Technology Charges                ,6000,0,6000,0,0,6000,0.00%
6500-95-21-950-0000-00000-00000-000-574006- Health Services Charges                       ,252,0,252,252,0,0,100.00%
6500-95-21-950-0000-00000-00000-000-574008- Charges - Cost Allocations                    ,0,0,0,0,0,0,0.00%
6500-95-21-950-0000-00000-00000-000-614101- Mach & Equipment                              ,0,0,0,0,0,0,0.00%
6500-95-21-950-0000-00000-00000-000-712101- Interest Expense                              ,15450,0,15450,0,0,15450,0.00%
,,,,,,,
65009500,FTA Pass Through,,,,,,
,,,,,,,
6500-95-21-950-9500-00000-00000-000-435000- Restricted Intergov Fed Grants                ,0,0,0,0,0,0,0.00%
6500-95-21-950-9500-00000-00000-000-435507- Restr Intrgv Fed FTA - PassThr                ,0,-553500,-553500,-161051,0,-392449,29.10%
6500-95-21-950-9500-00000-00000-000-435516- Rstrtd Intrgv - FTA JARC                      ,0,0,0,0,0,0,0.00%
6500-95-21-950-9500-00000-00000-000-521001- Contracted Services                           ,0,0,0,0,0,0,0.00%
6500-95-21-950-9500-00000-00000-000-524001- Supplies - Other                              ,0,0,0,0,0,0,0.00%
6500-95-21-950-9500-00000-00000-000-524003- Supplies - Safety Equipment                   ,0,0,0,0,0,0,0.00%
6500-95-21-950-9500-00000-00000-000-524005- Supplies - Uniforms                           ,0,0,0,0,0,0,0.00%
6500-95-21-950-9500-00000-00000-000-524006- Supplies - Fleet Parts                        ,0,0,0,0,0,0,0.00%
6500-95-21-950-9500-00000-00000-000-528502- Telephone                                     ,0,0,0,0,0,0,0.00%
6500-95-21-950-9500-00000-00000-000-528505- Cellular Usage                                ,0,0,0,0,0,0,0.00%
,,,,,,,
65090950,Mass Tr Fd - Transit Admin,,,,,,
,,,,,,,
6500-99-21-950-0000-00000-00000-000-498200- Oper Transfers Grant Fund                     ,0,0,0,0,0,0,0.00%
6500-99-21-950-0000-00000-00000-000-498201- Oper Transfers CDBG Fund                      ,0,0,0,-11338.85,0,11338.85,0.00%
6500-99-21-950-0000-00000-00000-000-498638- Oper Transfers Transit Cap Pro                ,0,0,0,0,0,0,0.00%
6500-99-21-950-0000-00000-00000-000-498641- Oper Trans from Water Cap Fd                  ,0,0,0,0,0,0,0.00%
6500-99-21-950-0000-00000-00000-000-800651- Transfer to Transit Capital Fu                ,0,0,0,0,0,0,0.00%
,,,,,,,
TOTAL Transit Administration Div    ,-585665,943457,357792,313763.39,0,44028.57,87.70%
,,,,,,,
,,,,,,,
951,Transit Operations Division,,,,,,
,,,,,,,
65000951,Mass Tr Fd - Transit Oper,,,,,,
,,,,,,,
6500-95-21-951-0000-00000-00000-000-433100- Sales Tax Refunds                             ,-24000,0,-24000,-43225.51,0,19225.51,180.10%
6500-95-21-951-0000-00000-00000-000-435000- Restrictd Intergv Fed Grants                  ,-1415956,0,-1415956,-1428448,0,12492,100.90%
6500-95-21-951-0000-00000-00000-000-436000- Restrictd Intergv State Grants                ,-553500,-940244,-1493744,-1352517.77,0,-141226.23,90.50%
6500-95-21-951-0000-00000-00000-000-442800- Motor Vehicles Licenses                       ,-316200,0,-316200,-300715.26,0,-15484.74,95.10%
6500-95-21-951-0000-00000-00000-000-450600- Passenger Fares                               ,-698000,0,-698000,-728725.53,0,30725.53,104.40%
6500-95-21-951-0000-00000-00000-000-450601- Contract Repairs                              ,0,0,0,0,0,0,0.00%
6500-95-21-951-0000-00000-00000-000-450602- Advertising Revenue                           ,-49000,0,-49000,-26211.5,0,-22788.5,53.50%
6500-95-21-951-0000-00000-00000-000-450603- Bulk Fare Income                              ,-60000,0,-60000,-152403.28,0,92403.28,254.00%
6500-95-21-951-0000-00000-00000-000-486000- Sale of Capital Assets                        ,0,0,0,0,0,0,0.00%
6500-95-21-951-0000-00000-00000-000-489000- Other Miscellaneous Revenue                   ,0,0,0,-1461.57,0,1461.57,0.00%
6500-95-21-951-0000-00000-00000-000-499101- Approp Fund Bal Res for Enc                   ,0,-3213,-3213,0,0,-3212.98,0.00%
6500-95-21-951-0000-00000-00000-000-521001- Contracted Services                           ,0,0,0,0,0,0,0.00%
6500-95-21-951-0000-00000-00000-000-521002- Professional Services                         ,0,0,0,0,0,0,0.00%
6500-95-21-951-0000-00000-00000-000-521004- Rental/Lease                                  ,0,0,0,0,0,0,0.00%
6500-95-21-951-0000-00000-00000-000-521006- Services - Janitorial                         ,0,0,0,0,0,0,0.00%
6500-95-21-951-0000-00000-00000-000-521014- Transit Monthly Management Fee                ,140610,0,140610,140607.96,0,2.06,100.00%
6500-95-21-951-0000-00000-00000-000-521015- Transit Operations Charge                     ,4687907,-5030,4682877,4569834.63,0,113042.37,97.60%
6500-95-21-951-0000-00000-00000-000-522002- Maint & Repair - Equipment                    ,0,0,0,0,0,0,0.00%
6500-95-21-951-0000-00000-00000-000-522003- Maint & Repair - Buildings                    ,0,0,0,0,0,0,0.00%
6500-95-21-951-0000-00000-00000-000-523001- Training                                      ,0,0,0,0,0,0,0.00%
6500-95-21-951-0000-00000-00000-000-523002- Dues & Subscriptions                          ,0,0,0,0,0,0,0.00%
6500-95-21-951-0000-00000-00000-000-524001- Supplies - Other                              ,0,0,0,0,0,0,0.00%
6500-95-21-951-0000-00000-00000-000-524003- Supplies - Safety Equipment                   ,0,0,0,0,0,0,0.00%
6500-95-21-951-0000-00000-00000-000-524005- Supplies - Uniforms                           ,0,0,0,0,0,0,0.00%
6500-95-21-951-0000-00000-00000-000-524006- Supplies - Fleet Parts                        ,0,0,0,0,0,0,0.00%
6500-95-21-951-0000-00000-00000-000-524009- Services - Postage                            ,0,0,0,0,0,0,0.00%
6500-95-21-951-0000-00000-00000-000-524101- Materials                                     ,0,0,0,0,0,0,0.00%
6500-95-21-951-0000-00000-00000-000-528001- Licenses Taxes & Fees                         ,0,0,0,0,0,0,0.00%
6500-95-21-951-0000-00000-00000-000-528502- Telephone                                     ,0,0,0,0,0,0,0.00%
6500-95-21-951-0000-00000-00000-000-528508- Electricity                                   ,0,0,0,0,0,0,0.00%
6500-95-21-951-0000-00000-00000-000-528522- Water and Sewer                               ,0,0,0,0,0,0,0.00%
6500-95-21-951-0000-00000-00000-000-571001- Fleet Maintenance Charges                     ,0,0,0,0,0,0,0.00%
6500-95-21-951-0000-00000-00000-000-571002- Fleet Fuel Charges                            ,0,0,0,0,0,0,0.00%
6500-95-21-951-0000-00000-00000-000-571999- Contra Fleet Charges                          ,0,0,0,0,0,0,0.00%
6500-95-21-951-0000-00000-00000-000-581091- Depreciation Expense                          ,0,0,0,0,0,0,0.00%
6500-95-21-951-0000-00000-00000-000-614101- Mach & Equipment                              ,0,5030,5030,5030,0,0,100.00%
,,,,,,,
65090951,Mass Transit Fund - Operation,,,,,,
,,,,,,,
6500-99-21-951-0000-00000-00000-000-498100- Oper Transfers from General Fd                ,-642196,0,-642196,-642196,0,0,100.00%
6500-99-21-951-0000-00000-00000-000-498101- Oper Transfers Gen Fd Subsidy                 ,0,0,0,0,0,0,0.00%
6500-99-21-951-0000-00000-00000-000-498401- Oper Transfers Cap Project Fd                 ,0,0,0,0,0,0,0.00%
6500-99-21-951-0000-00000-00000-000-498620- Oper Transfer from Prkg Srvcs                 ,0,0,0,0,0,0,0.00%
6500-99-21-951-0000-00000-00000-000-498633- Oper Transfers Parking Service                ,-484000,0,-484000,-484000,0,0,100.00%
6500-99-21-951-0000-00000-00000-000-498638- Oper Transfers Transit Cap Pro                ,0,0,0,0,0,0,0.00%
,,,,,,,
TOTAL Transit Operations Division   ,585665,-943457,-357792,-444431.83,0,86639.87,124.20%
,,,,,,,
,,,,,,,
999,CAFR Preparation,,,,,,
,,,,,,,
65000999,CAFR Preparation,,,,,,
,,,,,,,
6500-95-21-999-0000-00000-00000-000-486100- Gain/Loss on Disposal of CA                   ,0,0,0,0,0,0,0.00%
6500-95-21-999-0000-00000-00000-000-499910- Other Financing Sources- PPA                  ,0,0,0,0,0,0,0.00%
6500-95-21-999-0000-00000-00000-000-511001- Compensation - Full Time Reg                  ,0,0,0,7523.66,0,-7523.66,0.00%
6500-95-21-999-0000-00000-00000-000-512001- FICA Tax Expense                              ,0,0,0,575.56,0,-575.56,0.00%
6500-95-21-999-0000-00000-00000-000-512002- Employer - LGERS                              ,0,0,0,586.36,0,-586.36,0.00%
6500-95-21-999-0000-00000-00000-000-512005- Employer - 401(K)                             ,0,0,0,726.51,0,-726.51,0.00%
6500-95-21-999-0000-00000-00000-000-512019- Retiree OPEB Expense                          ,0,0,0,2102.68,0,-2102.68,0.00%
6500-95-21-999-0000-00000-00000-000-512024- OPEB Pension Contributions                    ,0,0,0,0,0,0,0.00%
6500-95-21-999-0000-00000-00000-000-581091- Depreciation Expense                          ,0,0,0,419598.39,0,-419598.39,0.00%
6500-95-21-999-0000-00000-00000-000-612101- Buildings                                     ,0,0,0,0,0,0,0.00%
6500-95-21-999-0000-00000-00000-000-614101- Mach & Equipment                              ,0,0,0,-2628075,0,2628075,0.00%
6500-95-21-999-0000-00000-00000-000-616101- Other Capital Outlay                          ,0,0,0,0,0,0,0.00%
6500-95-21-999-0000-00000-00000-000-800910- Other Financing Uses- PPA                     ,0,0,0,79398.16,0,-79398.16,0.00%
,,,,,,,
TOTAL CAFR Preparation              ,0,0,0,-2117563.68,0,2117563.68,0.00%
,,,,,,,
TOTAL Transportation Department     ,0,0,0,-2248232.12,0,2248232.12,0.00%
,,,,,,,
TOTAL Mass Transit Fund             ,0,0,0,-2248232.12,0,2248232.12,0.00%
,,,,,,,
TOTAL REVENUES,-5736596,-3213,-5739809,-5341819.82,0,-397989.16,
TOTAL EXPENSES,5736596,3213,5739809,3093587.7,0,2646221.28,
,,,,,,,
GRAND TOTAL,0,0,0,-2248232.12,0,2248232.12,0.00%
