Object Code,Description
123080,Accts Rec - MSD Permits
123081,Accts Rec - Bldg Permit Insp
123082,Accts Rec - Fines/Fees Parking
123083,Accts Rec - Fines Peripheral
123084,Accts Rec - Bicycle Locker
123085,Acct Rec - Tree Removal
123086,Accts Rec - Fines/Fees PkngMtr
123090,Accts Rec - Street Cut
123091,Accts Rec - MSD
123092,Accts Rec - PSNC
123093,Accts Rec- Stormwater
123099,Rec. - Unbilled
123101,Interest Receivable
123102,Interest Rec - Grove Arcade
123103,Interest Rec. - Investments
123200,Other Recvbl - P Card Disputes
123330,Accts Rec - Pack Square Conser
124000,Allow for Doubtful Accts - Ad
124001,Allow for Doubtful Accts - DMV
124002,Allow for Doubtful Accounts
124003,Allow for Doubtful Accts - Wat
124006,Allow for Doubtful Accts-Recyc
124022,Allow for Doubt Accts-Fire&San
124330,Allow for Doubtful - Pack Sqr
124501,Allow. for Doubtful Loan Accts
125000,Loans Rec-Section 108 Loans
125001,Loans Rec-Affordable Housing
125002,HUD Notes Receivable
125011,Escrow Rec - Amerinational
125100,Not in use
125101,Notes Rec - Grove Arcade Princ
126000,Intergov Rec - Federal
126001,Intergov Rec - Federal Grants
126002,Intergov Rec - US Treasury
126100,Intergov Rec - State of NC
126101,Intergov Rec-NC 5.5% Sales Tax
126102,Intergov Rec - NCDOT
126103,Intergov Rec - Tax NC 4% BC 2%
126104,Intergov Rec - Dept. of Revenu
126200,Intergov Rec - Haywood County
126201,Intergov Rec - Henderson Count
126202,Intergov Rec - Madison County
126203,Intergov Rec - McDowell County
126204,Intergov Rec - Wake County
126205,Intergov Rec - Alamance County
126206,Intergov Rec - Mitchell County
126207,Intergov Rec - Brunswick Count
126208,Intergov Rec - Cabarrus County
126209,Intergov Rec - Mecklenburg Cou
126210,Intergov Rec - Orange County
126211,Intergov Rec - Durham County
126212,Intergov Rec - Catawba County
127100,Intergov Rec - BuncC Tax 2.25%
127101,Intergov Rec - Utilities
127102,Intergov Rec - Local Sales Tax
127103,Intergov Rec - BC Rental Tax
127104,Interg Rec-Skyland Bilt Ad Val
127105,Interg Rec - Haw Creek Ad Val
127106,Intergov Rec-BC Pack Place Prk
127107,Intergov- BC School Police
127200,NC CAT3 County Tax - Control
127201,NC State Sales Tax - Contracts
127202,NC County Sales Tax - Contract
127203,NC State Sales Tax - Control
127204,Sales Tax Receivable - Transit
127205,Intergov Rec - NC Sales Tax
127210,FTA Reimb
127298,IR - Cnty Sales Tx-NCDOR Audit
127299,IR - NC Sales Tax-NCDOR Audit
128000,Intergov Rec - Authorities
134000,Due From Other Funds
134001,Due From General Fund
134002,Due From Civic Cntr Agenc Fund
134610,Due from Street Cut Fund
141001,Inventory
141002,Inv - Central Stores - General
141003,Inv - Central Stores - Water M
141004,Inventory - Fleet Management
141005,Inventory - Gas and Oil
141006,Inventory - CNG Gas
141007,Inventory - Nature Center
141008,Inventory - Print Shop
141009,Inventory - Aston & Sktbrd Pks
150001,Prepaid Expenses
150002,Prepaid Expenses - Festivals
160001,Property Held for Resale
161000,Amount to be Provided - LT Deb
171000,Land
171001,Buildings
171002,Improvements
171003,Machinery & Equipment
171004,Water & Sewer System
171005,Construction in Progress
171006,Infrastructure - Bridges
171007,Infrastructure - Curb & Gutter
171008,Infrastructure - Sidewalks
171009,Infrastructure - Storm Water
171010,Infrastructure - Streets
171011,Intangible Assets- Non Depr
171012,Intangible Assets- Depreciable
171019,Other Capital Assets
171100,Land - Held for Resale
171102,Improv- Other than Buildings
181001,Accumulated Depreciation
181002,Accum Depr - Building
181003,Accum Depr - Improvements
181004,Accum Depr - Mach & Equip
181005,Accum Depr - W & S System
181006,Accum Depr - Infrastructure
190000,Deferred Outflows
191000,Rev Ref 05 - Debt Issue Costs
191001,GO Rev 99 - Debt Issue Costs
191002,Rev 07 - Debt Issue Costs
191003,GO Ref 99 - Debt Issue Costs
191004,LOB 2012- Debt Iss Cost
191100,Debt Issuance Costs
211000,General Accounts Payable
211001,Active Card Integration Payabl
211002,Accounts Payable - Accruals
211003,Checks Payable Control
211004,Accts Payable - Civic Cen Agen
211090,Accts Payable - Street Cut
211091,Accts Payable - Water
212000,Retainage Payable
212001,Retainage Payable - 51Biltmore
213000,Salaries & Wages Payable
213001,Payroll Payable - United Way
213002,Payroll Payable - 401k
213003,Payroll Payable - Garnishments
213004,Payroll Payable - Child Suppor
213005,Payroll Payable - Med Flex
213006,Payroll Payable - Chld Care Fl
213007,Payroll Payable - LGERS
213008,Payroll Payable - APD 401k
213009,Payroll Payable - Credit Union
213010,Payroll Payable - LT Care Ins
213011,Payroll Payable - College Svn
213012,Payroll Payable - 457 Def Comp
213020,Payroll Payable - Fed Tax W/H
213021,Payroll Payable - FICA Tax W/H
213022,Payroll Payable - MC Tax W/H
213023,Payroll Payable - NC Tax W/H
213024,Payroll Payable - Adv Er Inc C
213025,Payroll Payable - 401A
213026,Payroll Payable - Firemen Pens
213030,Salaries & Taxes Payable
214000,Vacation Pay Payable - Wages
214008,Vacation Pay Payable - Pension
214010,Vacation Pay Payable - 401K
214025,Vacation Pay Payable - FICA
214999,Vacation Pay Payable - Contra
215000,Vacation Pay Payable - Current
220000,Customer Deposits
220002,Customer Deposits - Parks&Rec
221000,Accr Interest Payable
221001,Accr Interest Payable - Bonds
225003,Accts Pay - APD Uncl./Confisc
225004,Accts Pay - APD Lost and Found
225005,Accts Pay - APD Evidence Room
225006,Acc Payable - NC Sales Tax
225007,Acc Payable - BC Sales Tax
225008,Acc Payable - A/R Overpmt
225009,Acc Payable - Disp Escrow
225010,Acc Payable - Util Overpmts
225011,Acc Payable - Water Liens
225012,Acc Payable - Deposit Refund
225013,Acc Payable - RecTrac Cr Bal
225014,Acc Payable - Cell Phone
225015,Acc Payable - OPEB Liability
225016,Sales Tax Payable
225017,Sales Tax Pay - CC Novelty Tax
225018,Sales Tax - Non Refundable
225019,Skate Park - Sales Tax Payable
225020,Aston Park - Sales Tax Payable
225021,Nature Center - Sales Tax Payb
225022,Festivals - Sales Tax Payable
225023,City Pools - Sales Tax Payable
226000,Sales and  Use Tax - Control
230000,Customer Deposits
230001,Customer Deposits -  Water
230002,Customer Deposits - Planning
230008,Customer Deposits - Climbmax
233005,Accts Payable - Med Flex
233006,Accts Payable - Chld Care Flex
235801,Accts Pay - Vision
235810,Accts Pay - Life
235811,Accts Pay - Retiree Life U 65
235812,Accts Pay - Universal Life
235813,Accts Pay - Cancer Insurance
235814,Accts Pay - Critical Illness
235821,Accts Pay - Retiree Life O 65
241000,Due to Other Funds
241001,Due to Othr Funds - Water Oper
241002,Due to Othr Funds - ATA to AVL
241003,Due To Insurance Fund
241004,Due To General Fund
241622,Due to the Water Fund
242000,Due to Othr Govt Units - MSD
242001,Due to Othr Govt - MSD Uncoll
242002,Due to Othr Govt Units-WNC Air
242003,Due to Other Govts - Bunc Coun
243000,Due to NC - Escheats
243001,Due to NC - NC Home Ownrs Rec
243002,Due to NC - NCDOT
243003,Due to NC - State 4% Tax - Ven
243004,Curr Due to NC - Water Loan
243005,Due To NC - Escheats-Payroll
243006,Due to NC - DPI
244000,Due to Federal Government
252000,Curr-Cap Prem-Bonds 1999 Refun
252001,Curr-Cap Prem-Bonds 2005 Refun
252002,Curr-Cap Prem-Bonds 2007 Wtr R
252015,Curr - LOBs 2012 Premiums
253000,Curr Gen Oblig Bonds - Water
253001,Curr 1999 G O Refunding Bond
253002,Curr - Install Purch Contracts
253003,Curr - Install PC Azalea-Wells
253004,Curr - Install PC Fire St 6&11
253005,Curr - Install PC Tr &Equip
253006,Curr - Install PC Series 2008
253007,Curr - Water Rev Bonds 2008
253008,Curr - Install PC COPS 97C
253009,Curr - MSD Agreement
253010,Curr - Section 108 Loan
253011,Curr - Install PC Fire Tr 2010
253012,Curr - Install PC Liv Str Ctr
253013,Curr - DENR2011 Stormwater Ln
253014,Curr - DENR2011 Water Loan
253015,Curr - Long Term  NCDOT
254000,Revenue Bonds ST - 2005 Refud
254001,Revenue Bonds ST - WtrRev2007
255001,Curr-Gen Oblig Bonds 1999 GOR
255003,Curr-Gen Oblig Bonds 2000 GOR
255004,Curr-Gen Oblig Bonds COPS 93-A
255005,Curr-Gen Oblig Bonds COPS 93-B
255007,Gen Oblig Bonds ST Water
256000,Curr-Install PC 2002 Pierce D
256001,Curr-COPS 97A
256003,Curr-COPS 97C-Grove Arc-Brdlnd
256015,Current - LOBs 2012
256016,Cur-Unamortized Refunding Loss
256017,Current - Install Loan 2013 A
256018,Current - Install Loan 2013 B
261000,Deferred Revenue
261001,Deferred Revenue - Collections
261002,Deferred Revenue - Ad Val-DMV
261003,Deferred Revenue - Rvrside Cem
261004,Deferred Revenue - DMV
261005,Deferred Revenue - Ad Valorem
261006,Def Rev - Prepaid Ad Valorem
261007,Def Rev - Prepaid DMV
261008,Def Rev - Prepaid MV fees
261014,Deferred Revenue - Section 108
261017,Deferred Revenue - Principal
261018,Deferred Revenue - Police
261020,Deferred Revenue - Civic Cente
261021,Deferred Rev - Private Donatio
261022,Def Rev-Deposit Line of Credit
261031,Deferred Revenue - NSF
261032,Def Rev - Prepaid Priv. Lic.
261033,Def Rev - Prepaid Gaming
261110,Deferred Revenue - Fire Inspec
261311,Deferred Revenue - Sanitation
261330,Deferred Rev - Pack Sqr Conser
261670,Def Rev - Golf Gift Certificat
261802,Deferred Revenue - Festivals
261805,Defer Rev- Azalea Soccer
261900,Unearned Revenue
261901,Unearned Rev - BC 911 Communic
261902,Unearned Rev - Bid Security
261903,Unearned Rev - Good Faith Dep
269900,Def Rev - Unallocated Inv Rev
271003,Cap Lease LT - Installmt Ln 99
271006,Cap Lease LT - TRSH CNS-99 PU
272000,Cap Premium-Bonds - 1999 Ref
272001,Cap Premium-Bonds - 2005 ref
272002,Cap Premium-Bonds - 2007 Wtr R
272015,LT - LOBs 2012 Premiums
273000,Due to NC -  Water Loan LT
273001,MSD Agreement - Long Term
273010,LT - Section 108 Loan
273013,LT - DENR2011 Stormwater Loan
273014,LT - DENR2011 Water Loan
274000,Revenue Bonds LT - 2005 Refud
274001,Revenue Bonds LT - Wtr Rev 200
275000,Gen Oblig Bonds - RA-Wtr Bond
275001,Gen Oblig Bonds - LT-1999 GOR
275003,Gen Oblig Bonds LT 2000 GOR
275004,Gen Oblig Bonds LT COPS 93-A
275005,Gen Oblig Bonds LT COPS 93-B
275006,Gen Oblig Bonds LT COPS 93-C
275007,Gen Oblig Bonds LT Water
276000,Install PC FY 02 Pierce D Fire
276001,COPS - 97A
276002,COPS - 97B
276003,COPS - 97C-Grove Arc-Brdlands
276004,Install PC FY 2006
276005,Install PC FY 03 Garb Trks-Can
276006,Install PC FY 04 Garb-Fire Trk
276007,Install PC FY 02 TrCan Trk Rad
276008,Install PC FY 2008
276009,Install PC FY 03 Pub Sfty Rdio
276010,Install PC Trucks & Radio Equi
276011,Install PC FY 10 Fire Trucks
276012,Install PC FY 11 Liv. St. Ctr
276014,51 Biltmore - LT - IFA
276015,LT - LOBs 2012
276016,LT-Unamortized Refunding Loss
276017,LT - Installment Loan 2013 A
276018,LT - Installment Loan 2013 B
277000,"Estimated Claims Pay-Hlth,Lf,D"
277002,Estimated Claims Pay-Wrks Comp
277003,Estimated Claims Pay-P&L
277004,Other LT - Unfund Pension Obl
277005,Othr LT - Unfund Pens Obl FICA
281100,Eq In Pooled Cash - Gen Fund
281101,Eq in Pooled Cash - Invst Corr
282100,Eq in Pooled Cash - CaImp Fd
282200,Eq in Pooled Cash - Grant Fund
282230,Eq in Pooled Cash - Com Dev BG
282240,Eq in Pooled Cash - Section 10
282250,Eq in Pooled Cash - Home Inv T
282300,Eq in Pooled Cash - Aff Hs Tr
283100,Eq in Pooled Cash - Debt Svc
284100,Eq in Pooled Cash - Gen Cap Pr
285100,Eq in Pooled Cash - Nonexp Tr
286100,Eq in Pooled Cash - Water Svcs
286110,Eq in Pooled Cash - WtrBdCapPr
286200,Eq in Pooled Cash - Pking Svcs
286210,Eq in Pooled Cash - Prkg Cp Pr
286220,Eq in Pooled Cash-Street Cut U
286240,Eq in Pooled Cash - Stormwater
286250,Eq in Pooled Cash - StrmWtr Cp
286260,Eq in Pooled Cash - Civic Ctr
286270,Eq in Pooled Cash - Civ Ctr Cp
286500,Eq in Pooled Cash - Mass Tran
286510,Eq in Pooled Cash - Tran Cp Pr
286700,Eq in Pooled Cash - Golf Crse
286710,Eq in Pooled Cash - Golf Capit
286800,Eq in Pooled Cash - Festivals
287110,Eq In Pooled Cash - MSD Fund
287900,Eq In Pooled Cash - OPEB Fund
288100,Eq in Pooled Cash - Insurance
288110,Eq In Pooled Cash - HlthIns Fd
288120,Eq in Pooled Cash - Wrkrs Comp
288130,Eq in Pooled Cash - Prop/ Liab
290000,Deferred Inflows
290010,Deferred Inflows-Prepaid Taxes
290100,Deferred Inflows-Loan/Note Rec
300000,Reserved Accounts Vouchers-AP
304000,Estimated Revenues
305000,Appropriations
309800,Budgetary - Retained Earnings
309900,Budgetary - Fund Balance
319003,Equity - F/A Reclass for Trans
319004,Equity - F/A Reclassifications
319005,Equity- Investment in Fixed As
340000,Revenue Control
350000,Expenditure Control
360000,Encumbrances
360001,Reserve Pr Year Encumbs
370000,Reserve for Encumbrances
370001,Payroll History Conversion
389000,Contributed Cap - City of Ashe
389001,Other Contr Cap - Buncombe Cty
389002,Other Contributed Capital
398000,Retained Earnings
398001,Retained Earnings - Reserved R
399000,Fund Balance
399001,Appr Fund Bal - Reserved for E
411000,Current Year Prop Taxes Ad Val
411001,Current Year Prop Taxes DMV
412198,Prior Year Ad Valorem 1998
412199,Prior Year Ad Valorem 1999
412200,Prior Year Ad Valorem 2000
412201,Prior Year Ad Valorem 2001
412202,Prior Year Ad Valorem 2002
412203,Prior Year Ad Valorem 2003
412204,Prior Year Ad Valorem 2004
412205,Prior Year Ad Valorem 2005
412206,Prior Year Ad Valorem 2006
412207,Prior Year Ad Valorem 2007
412208,Prior Year Ad Valorum 2008
412209,Prior Year Ad Valorem 2009
412210,Prior Year Ad Valorem 2010
412211,Prior Year Ad Valorem 2011
412212,Prior Year Ad Valorem 2012
413198,Prior Year DMV  Taxes 1998
413199,Prior Year DMV  Taxes 1999
413200,Prior Year DMV  Taxes 2000
413201,Prior Year DMV  Taxes 2001
413202,Prior Year DMV  Taxes 2002
413203,Prior Year DMV  Taxes 2003
413204,Prior Year DMV  Taxes 2004
413205,Prior Year DMV  Taxes 2005
413206,Prior Year DMV  Taxes 2006
413207,Prior Year DMV  Taxes 2007
413208,Prior Year DMV Taxes 2008
413209,Prior Year DMV Taxes 2009
413210,Prior Year DMV Taxes 2010
413211,Prior Year DMV Taxes 2011
413212,Prior Year DMV Taxes 2012
414001,Ad Val Ashe Sub - Fire Prtctn
414002,Ad Val Haw Creek - Fire Prtctn
415012,NC Vehicle Tax 2012
415013,NC Vehicle Tax 2013
418000,Ad Val Interest
418001,Ad Val Interest DMV
418002,Ad Val Interest Loan Purch Pro
423100,Loc Option Sales Tax One Cent
423283,Loc Opt Sales Tx 1/2 Ct 1983
423300,Loc Opt Tx 1/2 Ct Hold Hrmls
423386,Loc Opt Sales Tx 1/2 Ct 1986
423402,Loc Opt Sales Tx 1/2 Ct 2002
423500,Loc Opt Sales Tx Fire District
427200,Vehicle Rental Tax
427201,Heavy Equipment Rental Tax
431600,State Powell Bill Proceeds
432100,Payments in Lieu of Taxes AHA
432300,Payments in Lieu of Taxes Stat
433000,State Beer & Wine Taxes
433100,Sales Tax Refunds
433200,State Util Franchise Tax
433401,Local Util Fran Tax-CPL
433402,Local Util Fran Fee-Gas
433403,Local Util Fran Fee-Cable
433404,Local Util Fran Fee-Cable
435000,Restricted Intergov Fed Grants
435001,FEMA 2010 Fed Storm Reimburse
435002,Restr Intrgv Fed Grts - COC
435003,temp
435100,Rstrctd Intrgv Fed Grants Oper
435500,Rstrtd Intrgv - FTA Cap Invest
435505,Rstrd Intrgov-Fed prtn of MPO
435507,Rstrtd Intrgv - FTA Formula
435516,Rstrtd Intrgv - FTA JARC
435521,Rstrtd Intrgv - FTA New Freedm
435951,Restr Intrgv Fed FTA - PassThr
435997,Fed Revenue Distribut - FEMA
436000,Restrictd Intergv State Grants
436001,FEMA 2010 State Storm Reimburs
436002,DENR Principal Forgive Grant
436100,Rstrctd IntrgvState Grnts Oper
436101,NCDEM Equipment Reimbursement
436102,NCDEM Training Reimbursement
436103,NCDEM Response Reimbursement
436505,Rstrd Intrgov-St prtn of MPO
436997,State Revenue Distri - FEMA
436998,State Powell Bill Distribution
437000,Restrictd Intergv County Parti
437100,Restrictd Intergv Otr Loc Part
437101,Oth Loc Partic City Schools
437102,Oth Loc Partic Sewer Annexat
437103,Oth Loc Partic Fed Seizur Fds
437104,Oth Loc Partic Traffic Calming
437105,Oth Loc Partic St Seizure Fds
437106,Oth Loc Partic Group Applicat
437107,Bunc C Part - Historic Res Com
437108,Oth Loc Partic Ashe Hsng Authr
442600,General Business Priv Lic
442601,License&Permits Street Vendors
442602,License&Permits Taxi Owners
442603,License&Permits Beer & Wine
442604,License&Permits Chauffers
442606,License&Permits Sign Permit
442607,License&Permits Dogs
442608,License&Permits Multi Animals
442609,License&Permits Livestock
442610,Lic & Permits Precious Metals
442800,Motor Vehicles Licenses
443100,Lic. & Permits - Permit Fees
443101,Lic. & Prmts - Building Permit
443102,Lic. & Prmts - Permit Fee Disc
443110,Lic. & Prmts - Violation
443120,Lic. & Prmt - Permit Violation
443121,Lic.&Prmt-W/O Permit Violation
443200,Lic. & Prmts - Inspection Fees
443201,Lic. & Prmts-Reinspection Fees
443300,Lic.& Prmts - Zoning Violation
443501,Bldg Permits & Insp Water
443502,Bldg Permits & Insp MSD
443503,Bldg Permits & Insp Other
443504,Bldg Permits & Insp Soil Erosn
443505,Bldg Permits & Insp Stormwater
443506,Bldg Permits & Insp Fire Insp
443507,Bldg Permits & Insp Fees
443508,Bldg Permits & Insp Driveways
443509,Bldg Permits & Insp Mechanical
443510,Bldg Permits & Insp Plumbing
443511,Bldg Permits & Insp Electrical
443512,Permit Housing Repair 1-2 unit
443513,Permit Housing Repair 3+ unit
443514,Permit Housing Repair Electric
443515,Permit Housing Rep mechanical
443516,Permit Housing Repair Plumbing
443517,Bldg Permits & Insp Floodplain
443518,Plan Review Fees
443519,WNC Air Quality Fee 3%
443520,Annualized Maintenance Fees
443521,Developer Pump Station Fees
443522,Bldg Permits & Insp Technology
443523,Bldg Per - Addressing Fees
443524,Water Technology Fee
443601,Working With Out a Permit
443602,Wking W/O a Permit-Mechanical
443603,Wking W/O a Permit-Plumbing
443604,Wking W/O a Permit- Elecrical
443605,Temporary Occupancy Utilities
443606,Housing Certificate 1-5 Years
443607,ABC Inspection Fees
443608,NC Homeowners Process Fees
443609,Electrical Exams Renewal
443610,Expedite Plan Review
443611,Housing Cert Fee  5+ years
443612,Re-inspection Fee - Buildng
443613,Re-inspection Fee - Electrical
443614,Re-inspection Fee - Mechanical
443615,Re-inspection Fee - Plumbing
443616,School Inspections
443617,3rd Party Inspector Fees
443618,Expedite Inspections
443619,Fire Safety Inspections
443620,Fire Inspection Fees
443621,Mandatory Fire Inspection Fees
443625,Fire Protection Asheville Sub
450000,Sales and Services
450001,Applications Fees
450002,Sales & Serv - Street Patches
450003,Sales & Serv - Cap Recov Fee
450004,Sales & Services - Permit Fees
450005,Entertainer Application Fees
450006,Sales & Serv - Degredation Fee
450007,Grave Sales
450008,Sales & Serv - Overlay Fees
450009,Sales & Serv - Patching Fees
450010,Charges for Services
450011,Charges for Services-8130
450012,Delinquent & Interest Fee
450013,Charges for Services-Haw Creek
450014,Charges for Services-Skyland
450018,GIS Data Request Fees
450023,Radios-Outside Agencies
450031,Police Escort Services
450032,Wrecker Company Fees
450033,Trap Rental Fees
450034,Haz-Mat Protection Charges
450035,Impoundment Fees
450036,Fire Protection Biltmore Fst
450037,Civic Center Advertising
450038,Fire Protection Haw Creek
450039,Propertyroom.com
450040,Charges for Services-CDBG/HOME
450100,Street Closing Fees
450101,Sway Car Charges
450102,Recycling Charges
450103,External Vehicle Charge
450104,External Vehicle Repair Charge
450105,Street Light Removal
450106,TIP fee surcharge
450107,External CNG Sales
450108,White Goods Pickup
450109,Setout Services
450110,Sanitation Container
450111,Dead Animal Pickup
450112,Utility Overlay Fee
450122,Solid Waste Fees
450201,Book Sales Commissions
450202,Demolition Liens
450203,HRC Maj Wks App Fee
450204,Board of Adjustments
450205,Zoning Neighborhood Letters
450206,Dwntwn Commis Rvw Ntfcations
450300,Rents - Rental Income
450301,Rents - Holiday Inn Airport
450302,Rents - Tower Rental
450303,Rents - Facilities
450304,Rents - Parks Shelters
450305,Rents - McCormick Field
450306,Rents - Equipment Rental
450307,Rents - Buildings and Arena
450308,Rents - Auditorium
450309,Rents - Exhibit Space
450310,Rents - Meeting Room
450311,Rents - Vendor & Booths
450312,Rents - Bicycle Locker Rental
450313,Rents - Facility Fees
450314,Rents - Skate Equip Rentals
450315,Rents - Bee Tree
450316,Rents - Mills River
450317,Rents - Van Rental
450318,Rents - Nontaxable Equipment
450319,Rents - Fiber Franchise
450320,Rent - Avl Symphony
450321,Damage Fees
450322,Rent - Indoor Farmers Market
450350,Pool Admission - Lockers
450351,Skate Admission
450352,Admission Fees
450353,Green Fees
450354,Festival Tickets
450355,Wrist Band Sales
450356,Admission Fees
450357,Class Participation Fees
450358,Civic Center Ticket Office
450359,Civic Ctr Ticket Office Hdlng
450360,Non-Resident Fees
450400,Child Care Fees
450401,Membership Fees - Golf Course
450402,Commissions
450405,Commissions - Catering
450451,Wellness
450452,Wellness-Vending
450500,Concessions
450501,Concessions - Food & Bev
450502,Vending Sales
450503,Bottled Water Sales
450504,Food Sales
450505,Souvenirs
450506,Pro Shop Sales
450507,Concessions - Mixed Beverages
450508,Concessions - Beer & Wine
450510,Catering In - House
450511,Novelty Sales
450512,Staff Reimbursement
450513,Concessions - Events
450514,Concessions - Beverages
450515,Concessions - Snack Bar
450516,Concessions - Tobacco
450518,Concessions - Pay Phone
450519,ATM - Fee
450600,Passenger Fares
450601,Contract Repairs
450602,Advertising Revenue
450603,Bulk Fare Income
450604,Bus Lease
450700,Utility Charges
450701,Account Setup Fees
450702,Wtr Serv Connection Fees
450704,Taps & Connections
450705,Water Availability
450706,Water Reservation Fees
