Type,Budget 2014,Function,Department
Revenue,12200000,General Fund,NCDMV Tax
Expense,9011860,Special Revenue Funds,Occupancy Tax
Revenue,9011860,Special Revenue Funds,Occupancy Tax Revenue
Expense,162190,Public Safety,Other Public Safety
Expense,333253,Public Safety,Parking Services
Revenue,260000,Public Safety,Parking Services Revenue
Expense,1809900,Public Safety,Permits & Inspections
Revenue,1169860,Public Safety,Permits & Inspections Revenue
Expense,42586,Physical Development,Physical Development OPEB
Expense,2623650,Physical Development,Planning
Revenue,116250,Physical Development,Planning Revenue
Expense,647380,Public Safety,Pre-Trial Release
Revenue,2800,Public Safety,Pre-Trial Release Revenue
Expense,13932153,Human Services,Public Health
Revenue,5512003,Human Services,Public Health Revenue
Expense,9344079,Public Safety,Public Safety Debt
Expense,727486,Public Safety,Public Safety OPEB
Expense,472581,Public Safety,Public Safety Training Center
Expense,290151,Education,Public School Debt
Expense,427917,Physical Development,Recycling
Revenue,96000,Physical Development,Recycling Revenue
Expense,2884773,General Government,Register of Deeds
Expense,231562,Special Revenue Funds,Register of Deeds Automation Fund
Revenue,231562,Special Revenue Funds,Register of Deeds Automation Fund Revenue
Revenue,4155519,General Government,Register of Deeds Revenue
Revenue,480000,General Fund,Rental Car and Heavy Equipment Receipts
Revenue,635960,General Fund,Rental Income
Revenue,21932595,General Fund,Sales Tax
Expense,39073,Special Revenue Funds,Sheriff Federal Forfeitures
Revenue,39073,Special Revenue Funds,Sheriff Federal Forfeitures Revenue
Expense,25175,Special Revenue Funds,Sheriff State Forfeitures
Revenue,25175,Special Revenue Funds,Sheriff State Forfeitures Revenue
Expense,31412587,Public Safety,"Sheriff's Office (P/I, Detention, Sheriff)"
Revenue,2580376,Public Safety,"Sheriff's Office (P/I, Detention, Sheriff) Revenue"
Expense,65420200,Human Services,Social Services
Revenue,35761085,Human Services,Social Services Revenue
Expense,425921,Physical Development,Soil Conservation
Revenue,67800,Physical Development,Soil Conservation Revenue
Expense,7246287,Enterprise Funds,Solid Waste
Revenue,7246287,Enterprise Funds,Solid Waste Revenue
Expense,153571,Administration,Support Services
Expense,298912,Physical Development,Support Services
Expense,380000,Education,Support Services
Expense,483861,"Community, Economic, & Cultural Development",Support Services
Expense,845957,General Government,Support Services
Expense,4870929,Public Safety,Support Services
Expense,6590359,Human Services,Support Services
Revenue,1914,Administration,Support Services Revenue
Revenue,3726,Physical Development,Support Services Revenue
Revenue,6032,"Community, Economic, & Cultural Development",Support Services Revenue
Revenue,10546,General Government,Support Services Revenue
Revenue,60723,Public Safety,Support Services Revenue
Revenue,82158,Human Services,Support Services Revenue
Expense,4601000,General Government,Tax
Revenue,922400,General Government,Tax Revenue
Expense,12123400,Transfers,Transfer - Capital Projects
Expense,149000,Transfers,Transfer - CJIS Enterprise
Expense,23416,Transfers,Transfer - Grant Projects
Expense,900000,Transfers,Transfer - Internal Service
Expense,1426448,Human Services,Transfer - Mountain Mobility
Expense,3794181,Special Revenue Funds,Transportation
Revenue,3794181,Special Revenue Funds,Transportation Revenue
Expense,673462,Human Services,Valley Child Care
Revenue,293000,Human Services,Valley Child Care Revenue
Expense,290255,Human Services,Veterans Services
Revenue,1497,Human Services,Veterans Services Revenue
Revenue,1525000,General Fund,Video Programming Services Tax
Revenue,595000,General Fund,Wine and Beer Tax
