Type,Budget Amount,Fund,Department,Program,Account Type,Account,Budget Year
EXPENSE,77156,General Fund,Planning,Adm-Comm Dev Svcs,Employee Benefits,Supplemental Retirement,2012
EXPENSE,7676,General Fund,Planning,Transportation Planning,Employee Benefits,Supplemental Retirement,2012
EXPENSE,34654,General Fund,Planning,Adm-Comm Dev Svcs,Other Expense,To Isf-Sir Workers Comp,2012
EXPENSE,24500,General Fund,Planning,Adm-Comm Dev Svcs,Miscellaneous,Training & Travel & Reg,2012
EXPENSE,4300,General Fund,Planning,Transportation Planning,Miscellaneous,Training & Travel & Reg,2012
EXPENSE,14778,General Fund,Planning,Adm-Comm Dev Svcs,Direct Expenses,Motor Fuels & Lubricants,2012
EXPENSE,444,General Fund,Planning,Transportation Planning,Direct Expenses,Motor Fuels & Lubricants,2012
EXPENSE,6000,General Fund,Planning,Adm-Comm Dev Svcs,Salaries and Wages,Salaries-Pt Temp/Seasonal,2012
EXPENSE,17694,General Fund,Planning,Adm-Comm Dev Svcs,Direct Expenses,Vehicle Maint & Operation,2012
EXPENSE,1000,General Fund,Planning,Transportation Planning,Direct Expenses,Vehicle Maint & Operation,2012
EXPENSE,-37950,General Fund,Planning,Adm-Comm Dev Svcs,Employee Benefits,Health Insurance Increment,2012
EXPENSE,-3913,General Fund,Planning,Transportation Planning,Employee Benefits,Health Insurance Increment,2012
EXPENSE,2500,General Fund,Planning,Adm-Comm Dev Svcs,Miscellaneous,Organization Dev & Training,2012
EXPENSE,4000,General Fund,Planning,Adm-Comm Dev Svcs,Direct Expenses,Telephone/Comm (Hard Lines),2012
EXPENSE,27200,General Fund,Planning,Adm-Comm Dev Svcs,Direct Expenses,Computer Operations & Access,2012
EXPENSE,12518,General Fund,Planning,Adm-Comm Dev Svcs,Miscellaneous,Licenses/Dues & Publications,2012
EXPENSE,1280,General Fund,Planning,Transportation Planning,Miscellaneous,Licenses/Dues & Publications,2012
EXPENSE,12500,General Fund,Planning,Adm-Comm Dev Svcs,Direct Expenses,Operational & Maint Supplies,2012
EXPENSE,1306,General Fund,Planning,Transportation Planning,Direct Expenses,Operational & Maint Supplies,2012
EXPENSE,3900,General Fund,Planning,Adm-Comm Dev Svcs,Direct Expenses,Cellular/Wireless Voice Lines,2012
EXPENSE,792,General Fund,Planning,Transportation Planning,Direct Expenses,Cellular/Wireless Voice Lines,2012
EXPENSE,8500,General Fund,Planning,Adm-Comm Dev Svcs,Direct Expenses,Copier Maintenance/Impressions,2012
EXPENSE,4580,General Fund,City Clerk,Adm-General Govt,Employee Benefits,Medicare,2012
EXPENSE,771,General Fund,City Clerk,Adm-General Govt,Employee Benefits,FICA Temp,2012
EXPENSE,8417,General Fund,City Clerk,Adm-General Govt,Salaries and Wages,Longevity,2012
EXPENSE,21731,General Fund,City Clerk,Adm-General Govt,Employee Benefits,Retirement,2012
EXPENSE,35000,General Fund,City Clerk,Adm-General Govt,Miscellaneous,Advertising,2012
EXPENSE,307155,General Fund,City Clerk,Adm-General Govt,Salaries and Wages,Salaries-Ft,2012
EXPENSE,180,General Fund,City Clerk,Adm-General Govt,Employee Benefits,Medicare Temp,2012
EXPENSE,3400,General Fund,City Clerk,Adm-General Govt,Direct Expenses,Computer Lease,2012
EXPENSE,278,General Fund,City Clerk,Adm-General Govt,Salaries and Wages,Merit Increase,2012
EXPENSE,18045,General Fund,City Clerk,Adm-General Govt,Direct Expenses,Print Copy-Rmb,2012
EXPENSE,2,General Fund,City Clerk,Adm-General Govt,Salaries and Wages,Range Increase,2012
EXPENSE,-2743,General Fund,City Clerk,Adm-General Govt,Employee Benefits,457 Plan Offset,2012
EXPENSE,-278,General Fund,City Clerk,Adm-General Govt,Salaries and Wages,Earnings Offset,2012
EXPENSE,4200,General Fund,City Clerk,Adm-General Govt,Direct Expenses,Office Supplies,2012
EXPENSE,16755,General Fund,City Clerk,Adm-General Govt,Direct Expenses,Photocopy Maint,2012
EXPENSE,571,General Fund,City Clerk,Adm-General Govt,Employee Benefits,Retirement Temp,2012
EXPENSE,19583,General Fund,City Clerk,Adm-General Govt,Employee Benefits,Social Security,2012
EXPENSE,1979,General Fund,City Clerk,Adm-General Govt,Employee Benefits,Dental Insurance,2012
EXPENSE,37310,General Fund,City Clerk,Adm-General Govt,Employee Benefits,Health Insurance,2012
EXPENSE,3226,General Fund,City Clerk,Adm-General Govt,Salaries and Wages,Expense Allowance,2012
EXPENSE,25000,General Fund,City Clerk,Adm-General Govt,Direct Expenses,City Code Contract,2012
EXPENSE,284,General Fund,City Clerk,Adm-General Govt,Employee Benefits,Group Life Ad & Di,2012
EXPENSE,270,General Fund,City Clerk,Adm-General Govt,Direct Expenses,Repairs-Office Equip,2012
EXPENSE,26595,General Fund,City Clerk,Adm-General Govt,Direct Expenses,Contractual Svcs-Other,2012
EXPENSE,8312,General Fund,City Clerk,Adm-General Govt,Employee Benefits,Supplemental Retirement,2012
EXPENSE,2742,General Fund,City Clerk,Adm-General Govt,Other Expense,To Isf-Sir Workers Comp,2012
EXPENSE,3500,General Fund,City Clerk,Adm-General Govt,Miscellaneous,Training & Travel & Reg,2012
EXPENSE,2000,General Fund,City Clerk,Adm-General Govt,Capital Equipment,Office Furniture & Equip,2012
EXPENSE,9216,General Fund,City Clerk,Adm-General Govt,Salaries and Wages,Salaries-Ot For Ft Staff,2012
EXPENSE,-3374,General Fund,City Clerk,Adm-General Govt,Employee Benefits,Health Insurance Increment,2012
EXPENSE,4500,General Fund,City Clerk,Adm-General Govt,Direct Expenses,Computer Operations & Access,2012
EXPENSE,720,General Fund,City Clerk,Adm-General Govt,Miscellaneous,Licenses/Dues & Publications,2012
EXPENSE,5948,General Fund,Purchasing,Adm-Finance,Employee Benefits,Medicare,2012
EXPENSE,6856,General Fund,Purchasing,Adm-Finance,Salaries and Wages,Longevity,2012
EXPENSE,28224,General Fund,Purchasing,Adm-Finance,Employee Benefits,Retirement,2012
EXPENSE,400667,General Fund,Purchasing,Adm-Finance,Salaries and Wages,Salaries-Ft,2012
EXPENSE,6828,General Fund,Purchasing,Adm-Finance,Direct Expenses,Computer Lease,2012
EXPENSE,2681,General Fund,Purchasing,Adm-Finance,Salaries and Wages,Merit Increase,2012
EXPENSE,2000,General Fund,Purchasing,Adm-Finance,Direct Expenses,Print Copy-Rmb,2012
EXPENSE,27,General Fund,Purchasing,Adm-Finance,Salaries and Wages,Range Increase,2012
EXPENSE,-3623,General Fund,Purchasing,Adm-Finance,Employee Benefits,457 Plan Offset,2012
EXPENSE,-2681,General Fund,Purchasing,Adm-Finance,Salaries and Wages,Earnings Offset,2012
EXPENSE,1800,General Fund,Purchasing,Adm-Finance,Direct Expenses,Office Supplies,2012
EXPENSE,700,General Fund,Purchasing,Adm-Finance,Direct Expenses,Small Equipment,2012
EXPENSE,25434,General Fund,Purchasing,Adm-Finance,Employee Benefits,Social Security,2012
EXPENSE,2899,General Fund,Purchasing,Adm-Finance,Employee Benefits,Dental Insurance,2012
EXPENSE,48688,General Fund,Purchasing,Adm-Finance,Employee Benefits,Health Insurance,2012
EXPENSE,369,General Fund,Purchasing,Adm-Finance,Employee Benefits,Group Life Ad & Di,2012
EXPENSE,4800,General Fund,Purchasing,Adm-Finance,Direct Expenses,Rental-Real Property,2012
EXPENSE,10980,General Fund,Purchasing,Adm-Finance,Employee Benefits,Supplemental Retirement,2012
EXPENSE,4000,General Fund,Purchasing,Adm-Finance,Miscellaneous,Training & Travel & Reg,2012
EXPENSE,-4403,General Fund,Purchasing,Adm-Finance,Employee Benefits,Health Insurance Increment,2012
EXPENSE,8400,General Fund,Purchasing,Adm-Finance,Direct Expenses,Computer Operations & Access,2012
EXPENSE,1200,General Fund,Purchasing,Adm-Finance,Miscellaneous,Licenses/Dues & Publications,2012
EXPENSE,3895,General Fund,Inspections,Adm-Comm Dev Svcs,Employee Benefits,Medicare,2012
EXPENSE,50556,General Fund,Inspections,Construction-Insp,Employee Benefits,Medicare,2012
EXPENSE,20043,General Fund,Inspections,Housing & Neighborhd Preserva,Employee Benefits,Medicare,2012
EXPENSE,4651,General Fund,Inspections,Neighborhood Preservation-Insp,Employee Benefits,Medicare,2012
EXPENSE,1000,General Fund,Inspections,Construction-Insp,Direct Expenses,Uniforms,2012
EXPENSE,1000,General Fund,Inspections,Housing & Neighborhd Preserva,Direct Expenses,Uniforms,2012
EXPENSE,366,General Fund,Inspections,Construction-Insp,Employee Benefits,FICA Temp,2012
EXPENSE,4572,General Fund,Inspections,Adm-Comm Dev Svcs,Salaries and Wages,Longevity,2012
EXPENSE,76773,General Fund,Inspections,Construction-Insp,Salaries and Wages,Longevity,2012
EXPENSE,30527,General Fund,Inspections,Housing & Neighborhd Preserva,Salaries and Wages,Longevity,2012
EXPENSE,5280,General Fund,Inspections,Neighborhood Preservation-Insp,Salaries and Wages,Longevity,2012
EXPENSE,18483,General Fund,Inspections,Adm-Comm Dev Svcs,Employee Benefits,Retirement,2012
EXPENSE,239878,General Fund,Inspections,Construction-Insp,Employee Benefits,Retirement,2012
EXPENSE,95101,General Fund,Inspections,Housing & Neighborhd Preserva,Employee Benefits,Retirement,2012
EXPENSE,22070,General Fund,Inspections,Neighborhood Preservation-Insp,Employee Benefits,Retirement,2012
EXPENSE,1500,General Fund,Inspections,Construction-Insp,Miscellaneous,Advertising,2012
EXPENSE,16000,General Fund,Inspections,Housing & Neighborhd Preserva,Miscellaneous,Advertising,2012
EXPENSE,10000,General Fund,Inspections,Neighborhood Preservation-Insp,Miscellaneous,Advertising,2012
EXPENSE,263312,General Fund,Inspections,Adm-Comm Dev Svcs,Salaries and Wages,Salaries-Ft,2012
EXPENSE,3391929,General Fund,Inspections,Construction-Insp,Salaries and Wages,Salaries-Ft,2012
EXPENSE,1343447,General Fund,Inspections,Housing & Neighborhd Preserva,Salaries and Wages,Salaries-Ft,2012
EXPENSE,312893,General Fund,Inspections,Neighborhood Preservation-Insp,Salaries and Wages,Salaries-Ft,2012
EXPENSE,3909,General Fund,Inspections,Adm-Comm Dev Svcs,Direct Expenses,Computer Lease,2012
EXPENSE,45035,General Fund,Inspections,Construction-Insp,Direct Expenses,Computer Lease,2012
EXPENSE,48536,General Fund,Inspections,Housing & Neighborhd Preserva,Direct Expenses,Computer Lease,2012
EXPENSE,16144,General Fund,Inspections,Neighborhood Preservation-Insp,Direct Expenses,Computer Lease,2012
EXPENSE,761,General Fund,Inspections,Adm-Comm Dev Svcs,Salaries and Wages,Merit Increase,2012
EXPENSE,17738,General Fund,Inspections,Construction-Insp,Salaries and Wages,Merit Increase,2012
EXPENSE,8235,General Fund,Inspections,Housing & Neighborhd Preserva,Salaries and Wages,Merit Increase,2012
EXPENSE,2596,General Fund,Inspections,Neighborhood Preservation-Insp,Salaries and Wages,Merit Increase,2012
EXPENSE,500,General Fund,Inspections,Adm-Comm Dev Svcs,Direct Expenses,Print Copy-Rmb,2012
EXPENSE,2000,General Fund,Inspections,Construction-Insp,Direct Expenses,Print Copy-Rmb,2012
EXPENSE,2160,General Fund,Inspections,Housing & Neighborhd Preserva,Direct Expenses,Print Copy-Rmb,2012
EXPENSE,500,General Fund,Inspections,Neighborhood Preservation-Insp,Direct Expenses,Print Copy-Rmb,2012
EXPENSE,7,General Fund,Inspections,Adm-Comm Dev Svcs,Salaries and Wages,Range Increase,2012
EXPENSE,163,General Fund,Inspections,Construction-Insp,Salaries and Wages,Range Increase,2012
EXPENSE,73,General Fund,Inspections,Housing & Neighborhd Preserva,Salaries and Wages,Range Increase,2012
EXPENSE,15,General Fund,Inspections,Neighborhood Preservation-Insp,Salaries and Wages,Range Increase,2012
EXPENSE,-2660,General Fund,Inspections,Adm-Comm Dev Svcs,Employee Benefits,457 Plan Offset,2012
EXPENSE,-30622,General Fund,Inspections,Construction-Insp,Employee Benefits,457 Plan Offset,2012
EXPENSE,-12398,General Fund,Inspections,Housing & Neighborhd Preserva,Employee Benefits,457 Plan Offset,2012
EXPENSE,-2880,General Fund,Inspections,Neighborhood Preservation-Insp,Employee Benefits,457 Plan Offset,2012
EXPENSE,-761,General Fund,Inspections,Adm-Comm Dev Svcs,Salaries and Wages,Earnings Offset,2012
EXPENSE,-17738,General Fund,Inspections,Construction-Insp,Salaries and Wages,Earnings Offset,2012
EXPENSE,-8235,General Fund,Inspections,Housing & Neighborhd Preserva,Salaries and Wages,Earnings Offset,2012
EXPENSE,-2596,General Fund,Inspections,Neighborhood Preservation-Insp,Salaries and Wages,Earnings Offset,2012
EXPENSE,1000,General Fund,Inspections,Adm-Comm Dev Svcs,Direct Expenses,Office Supplies,2012
EXPENSE,4500,General Fund,Inspections,Construction-Insp,Direct Expenses,Office Supplies,2012
EXPENSE,5500,General Fund,Inspections,Housing & Neighborhd Preserva,Direct Expenses,Office Supplies,2012
EXPENSE,1500,General Fund,Inspections,Neighborhood Preservation-Insp,Direct Expenses,Office Supplies,2012
EXPENSE,6480,General Fund,Inspections,Construction-Insp,Direct Expenses,Photocopy Maint,2012
EXPENSE,2160,General Fund,Inspections,Housing & Neighborhd Preserva,Direct Expenses,Photocopy Maint,2012
EXPENSE,317,General Fund,Inspections,Construction-Insp,Employee Benefits,Retirement Temp,2012
EXPENSE,1500,General Fund,Inspections,Construction-Insp,Direct Expenses,Small Equipment,2012
EXPENSE,16656,General Fund,Inspections,Adm-Comm Dev Svcs,Employee Benefits,Social Security,2012
EXPENSE,216169,General Fund,Inspections,Construction-Insp,Employee Benefits,Social Security,2012
EXPENSE,85701,General Fund,Inspections,Housing & Neighborhd Preserva,Employee Benefits,Social Security,2012
EXPENSE,19889,General Fund,Inspections,Neighborhood Preservation-Insp,Employee Benefits,Social Security,2012
EXPENSE,1754,General Fund,Inspections,Adm-Comm Dev Svcs,Employee Benefits,Dental Insurance,2012
