Type,FY 2014 Actual,School System,Fund,Group,Account
Expense,69867,Asheville City Schools,Other Specific Revenue Fund,Ancillary Services,Nutrition Services
Expense,72288,Asheville City Schools,Capital Outlay Fund,System-wide Support Services,Operational Support Services
Expense,76942,Buncombe County Schools,Capital Outlay Fund,System-wide Support Services,Operational Support Services
Expense,84449,Asheville City Schools,Other Specific Revenue Fund,System-wide Support Services,"Policy, Leadership & Public Info Services"
Revenue,87507,Asheville City Schools,Other Specific Revenue Fund,Federal Funds,Medicaid Direct Services Reimbursement
Revenue,88252,Buncombe County Schools,Other Specific Revenue Fund,Local Grants/Contracts,Sisters of Mercy
Expense,91948,Buncombe County Schools,Local Current Expense Fund,System-wide Support Services,Alternative Programs & Services
Expense,92159,Asheville City Schools,Local Current Expense Fund,System-wide Support Services,Alternative Programs & Services
Revenue,104500,Asheville City Schools,Other Specific Revenue Fund,Local Grants/Contracts,Head Start
Revenue,107219,Asheville City Schools,Local Current Expense Fund,Revenues,Fines and Forfeitures
Expense,108545,Asheville City Schools,Local Current Expense Fund,System-wide Support Services,Accountability Services
Expense,115402,Buncombe County Schools,Local Current Expense Fund,System-wide Support Services,Accountability Services
Expense,120526,Asheville City Schools,Other Specific Revenue Fund,System-wide Support Services,Alternative Programs & Services
Expense,127527,Asheville City Schools,Local Current Expense Fund,System-wide Support Services,Special Populations Services
Revenue,128805,Asheville City Schools,Other Specific Revenue Fund,Other,Fund Balance Decrease (Increase) - FY 2014
Revenue,129716,Asheville City Schools,Other Specific Revenue Fund,Local Funds,Indirect Cost
Revenue,129922,Buncombe County Schools,Capital Outlay Fund,Local Funds,LOBS - Koontz/Eblen
Expense,135026,Asheville City Schools,Capital Outlay Fund,Instructional Services,Regular Instructional Services
Expense,139492,Asheville City Schools,Other Specific Revenue Fund,Ancillary Services,Community Services
Expense,142996,Asheville City Schools,Local Current Expense Fund,Non-programmed Charges,Transfers to Other Funds
Revenue,153485,Asheville City Schools,Other Specific Revenue Fund,State Funds,Smart Start
Revenue,154001,Buncombe County Schools,Other Specific Revenue Fund,Federal Funds,Workforce Investment Grant
Revenue,160021,Buncombe County Schools,Capital Outlay Fund,State Funds,Sales Tax Refunds
Expense,162721,Buncombe County Schools,Local Current Expense Fund,System-wide Support Services,Special Populations Services
Expense,166046,Buncombe County Schools,Other Specific Revenue Fund,Non-programmed Charges,Indirect Costs & Transfers
Revenue,166650,Asheville City Schools,Other Specific Revenue Fund,Local Funds,Tuition and Fees
Revenue,168033,Buncombe County Schools,Other Specific Revenue Fund,Local Funds,Tuition and Fees
Expense,185391,Asheville City Schools,Local Current Expense Fund,System-wide Support Services,Regular Instructional Services
Revenue,190000,Asheville City Schools,Capital Outlay Fund,State Funds,Lottery Funds through SCCF - Hall Fletcher Roof
Expense,191051,Asheville City Schools,Other Specific Revenue Fund,Instructional Services,School Leadership Services
Expense,210345,Asheville City Schools,Local Current Expense Fund,Instructional Services,Co-Curricular Services
Expense,213800,Asheville City Schools,Other Specific Revenue Fund,Instructional Services,School-based Support Services
Revenue,223810,Buncombe County Schools,Other Specific Revenue Fund,Local Grants/Contracts,Social Workers
Expense,225157,Buncombe County Schools,Capital Outlay Fund,Non-programmed Charges,Contingency
Revenue,233735,Buncombe County Schools,Other Specific Revenue Fund,Federal Funds,Carol White PEP Grant
Revenue,236103,Buncombe County Schools,Other Specific Revenue Fund,Federal Funds,Medicaid Administrative Outreach
Revenue,245914,Asheville City Schools,Local Current Expense Fund,Revenues,Fund Balance Decrease (Increase) - FY 2014
Revenue,253581,Asheville City Schools,Other Specific Revenue Fund,Local Funds,Day Care Fees
Revenue,260730,Buncombe County Schools,Other Specific Revenue Fund,Local Funds,Rental of School Property
Revenue,276116,Buncombe County Schools,Other Specific Revenue Fund,Local Funds,County Appropriation for Community High School
Expense,281351,Buncombe County Schools,Other Specific Revenue Fund,System-wide Support Services,Regular Instructional Services
Revenue,298051,Buncombe County Schools,Other Specific Revenue Fund,Local Grants/Contracts,Miscellaneous Grants and Reimbursments
Expense,312450,Asheville City Schools,Other Specific Revenue Fund,System-wide Support Services,Operational Support Services
Expense,328049,Asheville City Schools,Local Current Expense Fund,System-wide Support Services,System-wide Pupil Support Services
Revenue,336216,Buncombe County Schools,Other Specific Revenue Fund,Local Funds,Other Miscellaneous Income
Revenue,340621,Buncombe County Schools,Other Specific Revenue Fund,Federal Funds,Medicaid Direct Services Reimbursement
Revenue,354490,Buncombe County Schools,Other Specific Revenue Fund,Other,Fund Balance Decrease (Increase) - FY 2014
Revenue,364806,Buncombe County Schools,Capital Outlay Fund,Local Funds,Bus Lease Pass Through
Expense,364806,Buncombe County Schools,Capital Outlay Fund,Non-programmed Charges,Transfers to Other Funds
Revenue,366808,Asheville City Schools,Other Specific Revenue Fund,State Funds,NC PreK
Expense,369499,Asheville City Schools,Local Current Expense Fund,Instructional Services,Special Populations Services
Revenue,369644,Asheville City Schools,Capital Outlay Fund,Other,Fund Balance Decrease (Increase) - FY 2014
Expense,375403,Buncombe County Schools,Other Specific Revenue Fund,Instructional Services,Alternative Programs & Services
Revenue,412366,Buncombe County Schools,Other Specific Revenue Fund,Federal Funds,Junior ROTC
Expense,432647,Buncombe County Schools,Other Specific Revenue Fund,Instructional Services,Special Populations Services
Expense,459048,Buncombe County Schools,Capital Outlay Fund,System-wide Support Services,Technology Support Services
Expense,595935,Buncombe County Schools,Other Specific Revenue Fund,Instructional Services,School-based Support Services
Revenue,619500,Asheville City Schools,Capital Outlay Fund,Local Funds,Asheville District Supplemental Tax
Revenue,624527,Buncombe County Schools,Local Current Expense Fund,Revenues,Fines and Forfeitures
Expense,646742,Asheville City Schools,Capital Outlay Fund,Instructional Services,School-based Support Services
Expense,682451,Buncombe County Schools,Other Specific Revenue Fund,System-wide Support Services,Operational Support Services
Expense,685940,Asheville City Schools,Local Current Expense Fund,Instructional Services,Alternative Programs & Services
Revenue,691008,Buncombe County Schools,Local Current Expense Fund,Revenues,Other Revenues
Expense,699311,Asheville City Schools,Local Current Expense Fund,Non-programmed Charges,Payments to Charter Schools
Expense,719514,Asheville City Schools,Local Current Expense Fund,System-wide Support Services,Technology Support Services
Expense,742082,Buncombe County Schools,Local Current Expense Fund,System-wide Support Services,Regular Instructional Services
Expense,769751,Buncombe County Schools,Local Current Expense Fund,System-wide Support Services,System-wide Pupil Support Services
Expense,794212,Asheville City Schools,Other Specific Revenue Fund,Instructional Services,Special Populations Services
Expense,797941,Asheville City Schools,Local Current Expense Fund,Instructional Services,School-based Support Services
Expense,817450,Asheville City Schools,Local Current Expense Fund,System-wide Support Services,Financial & Human Resource Services
Revenue,910156,Buncombe County Schools,Other Specific Revenue Fund,Local Funds,Indirect Cost
Expense,919849,Buncombe County Schools,Local Current Expense Fund,Instructional Services,Co-Curricular Services
Expense,991265,Asheville City Schools,Local Current Expense Fund,System-wide Support Services,"Policy, Leadership & Public Info Services"
Revenue,993548,Asheville City Schools,Other Specific Revenue Fund,Federal Funds,Early Head Start
Expense,1049409,Buncombe County Schools,Local Current Expense Fund,Instructional Services,Alternative Programs & Services
Expense,1079769,Buncombe County Schools,Capital Outlay Fund,Instructional Services,Regular Instructional Services
Expense,1229917,Buncombe County Schools,Local Current Expense Fund,Non-programmed Charges,Payments to Charter Schools
Expense,1235546,Buncombe County Schools,Other Specific Revenue Fund,Instructional Services,Regular Instructional Services
Expense,1284179,Buncombe County Schools,Capital Outlay Fund,Instructional Services,School-based Support Services
Expense,1434669,Asheville City Schools,Local Current Expense Fund,Instructional Services,School Leadership Services
Expense,1483673,Asheville City Schools,Other Specific Revenue Fund,Instructional Services,Regular Instructional Services
Revenue,1554729,Buncombe County Schools,Local Current Expense Fund,Revenues,Fund Balance Appropriated
Expense,1574478,Buncombe County Schools,Local Current Expense Fund,System-wide Support Services,Financial & Human Resource Services
Revenue,1578003,Asheville City Schools,Capital Outlay Fund,Local Funds,Article 40/42 Sales Tax
Expense,1581782,Buncombe County Schools,Local Current Expense Fund,Non-programmed Charges,Transfers to Other Funds
Expense,1647284,Asheville City Schools,Other Specific Revenue Fund,Instructional Services,Alternative Programs & Services
Expense,1750618,Buncombe County Schools,Local Current Expense Fund,System-wide Support Services,"Policy, Leadership & Public Info Services"
Revenue,2033637,Asheville City Schools,Capital Outlay Fund,Local Funds,LOBS through SCCF - New AMS
Revenue,2248875,Buncombe County Schools,Capital Outlay Fund,Other,Fund Balance Decrease (Increase) - FY 2014
Expense,2401356,Buncombe County Schools,Local Current Expense Fund,System-wide Support Services,Technology Support Services
Revenue,2540159,Asheville City Schools,Other Specific Revenue Fund,Local Funds,Sales Tax
Revenue,2628884,Buncombe County Schools,Capital Outlay Fund,Local Funds,Article 39 Sales Tax
Expense,3721005,Buncombe County Schools,Local Current Expense Fund,Instructional Services,Special Populations Services
Revenue,3974475,Buncombe County Schools,Capital Outlay Fund,State Funds,Lottery Funds through SCCF - Digital Learning
Expense,4093300,Asheville City Schools,Local Current Expense Fund,Instructional Services,Regular Instructional Services
Revenue,4401213,Asheville City Schools,Capital Outlay Fund,Local Funds,LOBS through SCCF - New IDES
Revenue,4530687,Buncombe County Schools,Capital Outlay Fund,State Funds,Lottery Funds through SCCF - Discovery Academy
Expense,4617481,Asheville City Schools,Local Current Expense Fund,System-wide Support Services,Operational Support Services
Expense,5399002,Buncombe County Schools,Local Current Expense Fund,Instructional Services,School-based Support Services
Expense,5756156,Buncombe County Schools,Local Current Expense Fund,Instructional Services,School Leadership Services
Revenue,7522848,Asheville City Schools,Local Current Expense Fund,Revenues,Asheville District Supplemental Tax
Expense,7676429,Asheville City Schools,Capital Outlay Fund,Capital Outlay,Capital Outlay
Revenue,8526806,Asheville City Schools,Local Current Expense Fund,Revenues,County General Appropriation
Revenue,9293273,Buncombe County Schools,Capital Outlay Fund,Local Funds,Article 40/42 Sales Tax
Expense,10516118,Buncombe County Schools,Local Current Expense Fund,Instructional Services,Regular Instructional Services
Expense,13230516,Buncombe County Schools,Local Current Expense Fund,System-wide Support Services,Operational Support Services
Expense,15489945,Buncombe County Schools,Capital Outlay Fund,Capital Outlay,Capital Outlay
Revenue,48113985,Buncombe County Schools,Local Current Expense Fund,Revenues,County General Appropriation
