Type,FY 2016 Proposed Budget,School System,Fund,Group,Account
Expense,27376,Asheville City Schools,Other Specific Revenue Fund,System-wide Support Services,Regular Instructional Services
Expense,30261,Buncombe County Schools,Other Specific Revenue Fund,Ancillary Services,Nutrition Services
Revenue,35000,Asheville City Schools,Other Specific Revenue Fund,Local Funds,Sales Tax Refunds
Expense,35516,Asheville City Schools,Other Specific Revenue Fund,System-wide Support Services,Alternative Programs & Services
Expense,40067,Asheville City Schools,Other Specific Revenue Fund,System-wide Support Services,Technology Support Services
Revenue,45741,Buncombe County Schools,Other Specific Revenue Fund,State Funds,State Funds
Expense,50000,Asheville City Schools,Local Current Expense Fund,Non-programmed Charges,Contingency
Revenue,50000,Buncombe County Schools,Capital Outlay Fund,Local Funds,Sale of School Property
Expense,54585,Buncombe County Schools,Other Specific Revenue Fund,Instructional Services,School Leadership Services
Revenue,57500,Asheville City Schools,Capital Outlay Fund,Other,Fund Balance Appropriated
Expense,59786,Buncombe County Schools,Other Specific Revenue Fund,System-wide Support Services,Alternative Programs & Services
Revenue,60000,Asheville City Schools,Other Specific Revenue Fund,Federal Funds,Impact Aid
Revenue,61153,Asheville City Schools,Other Specific Revenue Fund,Federal Funds,Medicaid Direct Services Reimbursement
Expense,62757,Asheville City Schools,Other Specific Revenue Fund,System-wide Support Services,Financial & Human Resource Services
Revenue,63297,Buncombe County Schools,Other Specific Revenue Fund,Local Grants/Contracts,Paddison
Revenue,64066,Buncombe County Schools,Other Specific Revenue Fund,Local Grants/Contracts,Boroughs Wellcome
Revenue,65500,Asheville City Schools,Other Specific Revenue Fund,Federal Funds,Marine Junior ROTC
Revenue,68500,Buncombe County Schools,Other Specific Revenue Fund,Local Grants/Contracts,Sisters of Mercy
Expense,80000,Asheville City Schools,Capital Outlay Fund,System-wide Support Services,Operational Support Services
Expense,80373,Asheville City Schools,Other Specific Revenue Fund,Ancillary Services,Nutrition Services
Expense,81623,Buncombe County Schools,Local Current Expense Fund,System-wide Support Services,Alternative Programs & Services
Expense,89680,Asheville City Schools,Other Specific Revenue Fund,System-wide Support Services,"Policy, Leadership & Public Info Services"
Revenue,100000,Asheville City Schools,Capital Outlay Fund,Local Funds,Asheville District Supplemental Tax
Revenue,100000,Buncombe County Schools,Capital Outlay Fund,State Funds,Sales Tax Refunds
Revenue,104500,Asheville City Schools,Other Specific Revenue Fund,Local Grants/Contracts,Head Start
Revenue,105000,Asheville City Schools,Local Current Expense Fund,Revenues,Fines and Forfeitures
Expense,112455,Asheville City Schools,Local Current Expense Fund,System-wide Support Services,Accountability Services
Expense,123842,Asheville City Schools,Local Current Expense Fund,System-wide Support Services,Special Populations Services
Expense,132025,Buncombe County Schools,Local Current Expense Fund,System-wide Support Services,Accountability Services
Revenue,138000,Asheville City Schools,Other Specific Revenue Fund,Federal Funds,Early Head Start
Revenue,140000,Asheville City Schools,Other Specific Revenue Fund,Local Funds,Tuition and Fees
Expense,141331,Asheville City Schools,Other Specific Revenue Fund,Ancillary Services,Community Services
Expense,142982,Asheville City Schools,Capital Outlay Fund,Instructional Services,Regular Instructional Services
Revenue,148000,Asheville City Schools,Other Specific Revenue Fund,State Funds,Smart Start
Revenue,155000,Asheville City Schools,Capital Outlay Fund,Local Funds,Sales Tax Refunds
Revenue,175733,Asheville City Schools,Other Specific Revenue Fund,Local Funds,Indirect Cost
Expense,184239,Asheville City Schools,Other Specific Revenue Fund,Instructional Services,School Leadership Services
Expense,199811,Buncombe County Schools,Local Current Expense Fund,System-wide Support Services,Special Populations Services
Revenue,200000,Buncombe County Schools,Other Specific Revenue Fund,Local Funds,Rental of School Property
Revenue,201100,Buncombe County Schools,Other Specific Revenue Fund,Local Funds,Tuition and Fees
Expense,201664,Asheville City Schools,Local Current Expense Fund,Non-programmed Charges,Transfers to Other Funds
Expense,216816,Asheville City Schools,Other Specific Revenue Fund,Instructional Services,School-based Support Services
Revenue,221086,Buncombe County Schools,Other Specific Revenue Fund,Local Grants/Contracts,"Grant Matches- EWIF, etc."
Revenue,230314,Buncombe County Schools,Other Specific Revenue Fund,Federal Funds,APLUS Math/Science Grant
Expense,233864,Asheville City Schools,Local Current Expense Fund,System-wide Support Services,System-wide Pupil Support Services
Expense,239735,Buncombe County Schools,Other Specific Revenue Fund,Non-programmed Charges,Indirect Costs & Transfers
Expense,246188,Asheville City Schools,Local Current Expense Fund,Instructional Services,Co-Curricular Services
Revenue,250000,Buncombe County Schools,Other Specific Revenue Fund,Federal Funds,Medicaid Administrative Outreach
Expense,260328,Asheville City Schools,Local Current Expense Fund,System-wide Support Services,Alternative Programs & Services
Revenue,272400,Asheville City Schools,Other Specific Revenue Fund,Local Funds,Day Care Fees
Expense,273097,Asheville City Schools,Local Current Expense Fund,System-wide Support Services,Regular Instructional Services
Revenue,276116,Buncombe County Schools,Other Specific Revenue Fund,Local Funds,County Appropriation for Community High School
Revenue,287059,Buncombe County Schools,Other Specific Revenue Fund,Federal Funds,Workforce Investment Grant
Expense,292719,Asheville City Schools,Other Specific Revenue Fund,System-wide Support Services,Operational Support Services
Expense,339388,Buncombe County Schools,Other Specific Revenue Fund,Instructional Services,Alternative Programs & Services
Expense,358599,Asheville City Schools,Other Specific Revenue Fund,Instructional Services,Special Populations Services
Revenue,358955,Asheville City Schools,Other Specific Revenue Fund,Other,Fund Balance Appropriated
Revenue,369720,Asheville City Schools,Other Specific Revenue Fund,State Funds,NC PreK
Expense,375457,Asheville City Schools,Local Current Expense Fund,Instructional Services,Special Populations Services
Revenue,397290,Buncombe County Schools,Other Specific Revenue Fund,Federal Funds,CLASS Grant
Revenue,402265,Buncombe County Schools,Other Specific Revenue Fund,Federal Funds,Junior ROTC
Expense,437255,Buncombe County Schools,Capital Outlay Fund,Non-programmed Charges,Contingency
Revenue,525684,Buncombe County Schools,Other Specific Revenue Fund,Local Funds,Other Miscellaneous Income
Revenue,545845,Buncombe County Schools,Other Specific Revenue Fund,Federal Funds,Carol White PEP Grant
Revenue,582828,Asheville City Schools,Capital Outlay Fund,State Funds,ADM through SCCF - New IDES
Expense,600000,Asheville City Schools,Capital Outlay Fund,Instructional Services,School-based Support Services
Revenue,698563,Buncombe County Schools,Other Specific Revenue Fund,Local Funds,Indirect Cost
Revenue,700000,Buncombe County Schools,Local Current Expense Fund,Revenues,Fines and Forfeitures
Expense,711964,Buncombe County Schools,Local Current Expense Fund,Instructional Services,Alternative Programs & Services
Expense,728109,Buncombe County Schools,Other Specific Revenue Fund,System-wide Support Services,Operational Support Services
Revenue,733127,Buncombe County Schools,Other Specific Revenue Fund,Local Grants/Contracts,Miscellaneous Grants and Reimbursments
Expense,744138,Asheville City Schools,Local Current Expense Fund,System-wide Support Services,Technology Support Services
Expense,873720,Buncombe County Schools,Local Current Expense Fund,System-wide Support Services,System-wide Pupil Support Services
Expense,932112,Asheville City Schools,Local Current Expense Fund,System-wide Support Services,"Policy, Leadership & Public Info Services"
Expense,980378,Asheville City Schools,Local Current Expense Fund,System-wide Support Services,Financial & Human Resource Services
Expense,1064372,Buncombe County Schools,Local Current Expense Fund,System-wide Support Services,Regular Instructional Services
Expense,1077625,Asheville City Schools,Local Current Expense Fund,Non-programmed Charges,Payments to Charter Schools
Expense,1090703,Buncombe County Schools,Local Current Expense Fund,Instructional Services,Co-Curricular Services
Expense,1125243,Asheville City Schools,Local Current Expense Fund,Instructional Services,Alternative Programs & Services
Revenue,1127067,Buncombe County Schools,Other Specific Revenue Fund,Federal Funds,Medicaid Direct Services Reimbursement
Expense,1151495,Asheville City Schools,Other Specific Revenue Fund,Instructional Services,Alternative Programs & Services
Expense,1252916,Buncombe County Schools,Other Specific Revenue Fund,Instructional Services,Special Populations Services
Expense,1269900,Asheville City Schools,Local Current Expense Fund,Instructional Services,School-based Support Services
Expense,1346973,Buncombe County Schools,Other Specific Revenue Fund,System-wide Support Services,Regular Instructional Services
Expense,1351099,Asheville City Schools,Local Current Expense Fund,Instructional Services,School Leadership Services
Revenue,1367172,Asheville City Schools,Capital Outlay Fund,State Funds,Lottery Funds through SCCF - New IDES
Expense,1400000,Buncombe County Schools,Capital Outlay Fund,Instructional Services,School-based Support Services
Revenue,1588750,Asheville City Schools,Local Current Expense Fund,Revenues,Fund Balance Appropriated
Expense,1661571,Asheville City Schools,Other Specific Revenue Fund,Instructional Services,Regular Instructional Services
Revenue,1720482,Asheville City Schools,Capital Outlay Fund,Local Funds,Article 40/42 Sales Tax
Expense,1765869,Buncombe County Schools,Local Current Expense Fund,System-wide Support Services,Financial & Human Resource Services
Revenue,1850223,Buncombe County Schools,Other Specific Revenue Fund,Other,Fund Balance Appropriated
Expense,1867041,Buncombe County Schools,Other Specific Revenue Fund,Instructional Services,School-based Support Services
Expense,1945000,Buncombe County Schools,Capital Outlay Fund,System-wide Support Services,Technology Support Services
Expense,1966081,Buncombe County Schools,Local Current Expense Fund,System-wide Support Services,"Policy, Leadership & Public Info Services"
Expense,2021000,Buncombe County Schools,Capital Outlay Fund,Instructional Services,Regular Instructional Services
Expense,2271558,Buncombe County Schools,Other Specific Revenue Fund,Instructional Services,Regular Instructional Services
Revenue,2430212,Asheville City Schools,Other Specific Revenue Fund,Local Funds,Sales Tax
Expense,2642967,Buncombe County Schools,Local Current Expense Fund,Non-programmed Charges,Payments to Charter Schools
Expense,2806193,Buncombe County Schools,Local Current Expense Fund,System-wide Support Services,Technology Support Services
Revenue,4285000,Buncombe County Schools,Capital Outlay Fund,Other,Fund Balance Appropriated
Expense,4466830,Buncombe County Schools,Local Current Expense Fund,Instructional Services,Special Populations Services
Expense,4975160,Asheville City Schools,Local Current Expense Fund,Instructional Services,Regular Instructional Services
Expense,4981515,Asheville City Schools,Local Current Expense Fund,System-wide Support Services,Operational Support Services
Revenue,5240000,Buncombe County Schools,Capital Outlay Fund,Local Funds,Article 39 Sales Tax
Revenue,5519492,Buncombe County Schools,Local Current Expense Fund,Revenues,Fund Balance Appropriated
Expense,5998236,Buncombe County Schools,Local Current Expense Fund,Instructional Services,School-based Support Services
Expense,6667289,Buncombe County Schools,Local Current Expense Fund,Instructional Services,School Leadership Services
Revenue,8127889,Asheville City Schools,Local Current Expense Fund,Revenues,Asheville District Supplemental Tax
Revenue,8785000,Asheville City Schools,Capital Outlay Fund,Local Funds,LOBS through SCCF - New IDES
Revenue,9485870,Asheville City Schools,Local Current Expense Fund,Revenues,County General Appropriation
Revenue,9695185,Buncombe County Schools,Capital Outlay Fund,Local Funds,Article 40/42 Sales Tax
Expense,15042787,Buncombe County Schools,Local Current Expense Fund,Instructional Services,Regular Instructional Services
Expense,15198586,Buncombe County Schools,Local Current Expense Fund,System-wide Support Services,Operational Support Services
Revenue,25000000,Buncombe County Schools,Capital Outlay Fund,Local Funds,COPS - Enka Intermediate
Revenue,27750000,Asheville City Schools,Capital Outlay Fund,Local Funds,LOBS through SCCF - New AMS
Expense,38601930,Buncombe County Schools,Capital Outlay Fund,Capital Outlay,Capital Outlay
Expense,39655000,Asheville City Schools,Capital Outlay Fund,Capital Outlay,Capital Outlay
Revenue,54473846,Buncombe County Schools,Local Current Expense Fund,Revenues,County General Appropriation
